Fundos,Setor,Preço Atual (R$),Liquidez Diária (R$),P/VP,Último Dividendo,Dividend Yield,DY (3M) Acumulado,DY (6M) Acumulado,DY (12M) Acumulado,DY (3M) média,DY (6M) média,DY (12M) média,DY Ano,Variação Preço,Rentab. Período,Rentab. Acumulada,Patrimônio Líquido,VPA,P/VPA,DY Patrimonial,Variação Patrimonial,Rentab. Patr. Período,Rentab. Patr. Acumulada,Quant. Ativos,Volatilidade,Num. Cotistas,Tax. Gestão,Tax. Performance,Tax. Administração
XPML11,Shoppings,"105,19","9.399.730,04","0,94","0,92","0,87 %","2,69 %","5,39 %","11,30 %","0,90 %","0,90 %","0,94 %","8,37 %","5,64 %","6,56 %","27,52 %","6.387.056.178,54","112,61","0,93","0,82 %","11,56 %","12,47 %","20,53 %",20,"14,64",608.916,N/A,"0,75 % a.a","20,00 % a.a"
XPPR11,Lajes Corporativas,"12,54","78.639,38","0,21","0,07","0,53 %","1,02 %","2,30 %","4,38 %","0,34 %","0,38 %","0,37 %","0,53 %","-9,03 %","-8,55 %","-8,55 %","443.953.188,51","60,68","0,21","0,12 %","-18,41 %","-18,31 %","-21,40 %",2,"21,62",42.867,N/A,N/A,N/A
XPSF11,Fundo de Fundos,"6,25","690.399,13","0,82","0,07","1,03 %","3,18 %","6,14 %","13,01 %","1,06 %","1,02 %","1,08 %","10,69 %","3,95 %","5,02 %","18,75 %","333.163.250,23","7,69","0,81","0,85 %","-7,90 %","-7,13 %","-90,29 %",14,"17,25",58.889,N/A,"1,00 % a.a","20,00 % a.a"
XTED11,Lajes Corporativas,"8,82","17.641,88","0,68","11,16",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"67.378.204,04","28,02","0,31","0,00 %","-0,36 %","-0,36 %","-3,45 %",1,"29,46",4.098,"1,00 % a.a","0,20 % a.a",N/A
YUFI11,Fundo de Desenvolvimento,"59,50","5,17","1,30","29,23","0,00 %","0,00 %","0,29 %","3,10 %","0,00 %","0,29 %","0,26 %","2,80 %","0,00 %","0,00 %",N/A,"22.604.706,09",N/A,N/A,N/A,N/A,N/A,N/A,12,"36,26",56,N/A,N/A,N/A
YUFI11B,Indefinido,N/A,N/A,N/A,"0,63","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"0,00 %","0,00 %","0,00 %",N/A,"105,53",N/A,"0,60 %","-0,01 %","0,59 %","6,32 %",0,N/A,0,N/A,N/A,N/A
ZAGH11,Serviços Financeiros Diversos,"10,03","1.117,00","1,07","0,06","0,60 %","1,76 %","3,86 %","7,18 %","0,59 %","0,64 %","0,60 %","6,03 %","1,41 %","2,02 %","-12,62 %","83.136.734,73",N/A,N/A,N/A,N/A,N/A,N/A,1,"68,53",429,N/A,"1,50 % a.a","20,00 % a.a"
ZAVC11,Indefinido,"9,45","4.317,39","0,98","0,13","0,00 %","2,81 %","7,42 %","15,97 %","0,94 %","1,24 %","1,33 %","0,00 %","0,00 %","0,00 %",N/A,"35.188.030,66",N/A,N/A,N/A,N/A,N/A,N/A,1,"95,39",476,N/A,N/A,N/A
ZAVI11,Indefinido,"86,91","36.395,30","0,65","1,10","1,24 %","3,76 %","7,73 %","15,37 %","1,25 %","1,29 %","1,28 %","12,91 %","2,55 %","3,83 %","8,33 %","159.042.877,86",N/A,N/A,N/A,N/A,N/A,N/A,9,"28,50",2.546,N/A,"1,25 % a.a","20,00 % a.a"
ZIFI11,Fundo de Desenvolvimento,"519,99","2.348,33","0,29","3,31","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"83.840.523,63",N/A,N/A,N/A,N/A,N/A,N/A,14,"49,54",93,N/A,N/A,N/A
