TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO;Ticker;Nome;Última (R$);Variação;STOCK;DEPARTMENT;IMAGE
AALR3;6,46;;-11,37;0,93;0,34;27,68;9,63;-7,04;8,31;11,04;2,72;0,30;0,80;34,63;-0,46;1,04;-8,17;-3,01;6,82;0,37;0,62;0,43;2,55;;316.300,71;6,95;-0,57;0,19;984.242.253,72;AALR3;Alliança;6,47;+1,57%;AALR3;Serviços de Saúde;https://s3-symbol-logo.tradingview.com/alliar--big.svg
ABCB4;23,31;8,35;5,89;0,87;0,09;21,67;12,42;10,32;4,90;4,90;;;0,61;-2,48;-0,09;0,20;14,71;1,56;;0,11;0,89;0,15;35,11;14,24;6.846.147,00;26,90;3,96;0,61;5.702.951.336,67;ABCB4;Banco ABC Brasil;23,31;+0,65%;ABCB4;Financeiro;https://s3-symbol-logo.tradingview.com/abc-brasil--big.svg
ABEV3;12,52;8,40;13,38;2,13;1,39;51,50;25,06;16,08;8,59;7,96;-0,63;-0,16;2,15;50,34;-1,95;1,11;15,95;10,38;18,73;0,65;0,34;0,65;11,20;4,60;359.309.243,86;5,87;0,94;5,40;197.335.717.225,12;ABEV3;Ambev;12,55;+0,24%;ABEV3;Consumo de Não Duráveis;https://s3-symbol-logo.tradingview.com/ambev--big.svg
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20;;;;;;;
AERI3;4,10;;-0,22;-4,01;0,12;5,17;-87,08;-112,32;-0,28;-2,09;-1,81;;0,25;1,16;-0,20;1,41;-1.823,36;-56,67;-58,22;-0,03;1,03;0,50;12,70;;544.332,33;-1,02;-18,65;0,00;254.692.803,60;AERI3;Aeris Energy;4,10;-0,97%;AERI3;Produtor Manufatureiro;https://s3-symbol-logo.tradingview.com/aeris-on-nm--big.svg
AESB3;8,12;;-17,01;1,70;0,37;27,59;23,00;-10,02;7,41;18,23;10,82;2,49;1,70;-15,45;-0,42;0,84;-10,02;-2,15;5,10;0,21;0,73;0,21;;;13.684.494,00;4,76;-0,48;-0,08;6.973.842.690,64;;;;;;;
AFLT3;7,40;5,80;17,87;1,94;1,32;54,38;48,60;34,47;12,68;12,88;0,20;0,03;6,16;9,77;-1,75;2,24;10,86;7,40;11,23;0,68;0,32;0,21;17,36;0,67;2.673,00;3,81;0,41;-2,51;466.826.780,00;AFLT3;Afluente T;7,40;+0,00%;AFLT3;Serviços Públicos;https://s3-symbol-logo.tradingview.com/afluente-t-on--big.svg
AGRO3;20,47;7,60;15,23;0,97;0,55;28,86;17,49;11,78;10,25;15,87;5,62;0,53;1,79;4,05;-0,79;1,79;6,34;3,60;4,20;0,57;0,43;0,31;10,70;2,91;2.471.620,29;21,21;1,34;-0,39;2.101.930.098,68;AGRO3;BrasilAgro;20,47;+0,10%;AGRO3;Financeiro;https://s3-symbol-logo.tradingview.com/brasilagro--big.svg
AGXY3;5,71;;-0,03;-0,05;0,03;-4,18;-59,21;-86,99;-0,05;-0,68;-0,63;;0,03;-0,03;-0,05;0,33;-145,31;-83,71;433,24;-0,58;1,58;0,96;24,29;;118.329,19;-118,43;-172,09;0,00;96.896.250,41;AGXY3;AgroGalaxy;5,71;-1,89%;AGXY3;Serviços de Distribuição;https://s3-symbol-logo.tradingview.com/agrogalaxy-on-nm--big.svg
AHEB3;29,59;;2,44;1,01;0,47;19,41;12,54;15,36;2,98;2,91;-0,11;-0,04;0,37;1,43;-0,82;4,03;41,26;19,10;26,80;0,46;0,54;1,24;44,62;;3.826,25;29,44;12,15;-0,14;256.270.015,43;AHEB3;São Paulo Turismo;29,59;-7,39%;AHEB3;Serviços Comerciais;https://s3-symbol-logo.tradingview.com/spturis--big.svg
