Fundos,Setor,Preço Atual (R$),Liquidez Diária (R$),P/VP,Último Dividendo,Dividend Yield,DY (3M) Acumulado,DY (6M) Acumulado,DY (12M) Acumulado,DY (3M) média,DY (6M) média,DY (12M) média,DY Ano,Variação Preço,Rentab. Período,Rentab. Acumulada,Patrimônio Líquido,VPA,P/VPA,DY Patrimonial,Variação Patrimonial,Rentab. Patr. Período,Rentab. Patr. Acumulada,Quant. Ativos,Volatilidade,Num. Cotistas,Tax. Gestão,Tax. Performance,Tax. Administração
AAGR11,Indefinido,"96,98","21.185,13",N/A,"1,53","1,63 %","4,40 %","8,27 %","16,06 %","1,47 %","1,38 %","1,34 %","11,08 %","-3,47 %","-1,90 %","17,14 %",N/A,N/A,N/A,"0,00 %","0,00 %","0,00 %","0,00 %",0,"61,93",0,N/A,N/A,N/A
AAZQ11,Indefinido,"7,51","293.140,17","0,87","0,10","1,28 %","4,40 %","8,57 %","18,01 %","1,47 %","1,43 %","1,50 %","12,12 %","5,11 %","6,46 %","37,63 %","207.729.876,31","8,64","0,87","1,56 %","0,00 %","0,00 %","0,00 %",0,"18,98",29.519,N/A,"1,20 % a.a","10,00 % a.a"
ABCP11,Shoppings,"85,13","66.906,52","0,79","0,50","0,53 %","2,84 %","4,96 %","10,80 %","0,95 %","0,83 %","0,90 %","6,44 %","8,20 %","8,78 %","53,42 %","503.643.939,47","106,95","0,80","1,08 %","16,48 %","17,73 %","26,11 %",1,"23,50",14.884,N/A,"0,10 % a.a",N/A
AFHI11,Papéis,"91,09","500.929,78","0,97","1,01","1,10 %","3,38 %","6,66 %","13,24 %","1,13 %","1,11 %","1,10 %","8,91 %","-0,74 %","0,35 %","19,63 %","427.523.494,63","93,85","0,97","1,16 %","-1,18 %","-0,03 %","6,24 %",14,"11,61",38.876,N/A,"1,00 % a.a",N/A
AGRX11,Indefinido,"7,94","84.938,13","0,76","0,12","1,50 %","4,56 %","8,90 %","15,12 %","1,52 %","1,48 %","1,26 %","10,30 %","-2,56 %","-1,10 %","29,04 %","187.401.380,81","10,47","0,76","1,15 %","0,00 %","0,00 %","0,00 %",0,"31,27",18.685,N/A,"1,00 % a.a","10,00 % a.a"
AIEC11,Lajes Corporativas,"46,30","239.999,96","0,59","0,34","0,74 %","2,12 %","4,26 %","13,25 %","0,71 %","0,71 %","1,10 %","7,38 %","0,94 %","1,69 %","15,35 %","374.962.017,03","77,71","0,60","0,41 %","-16,90 %","-16,55 %","-15,59 %",2,"19,14",15.724,N/A,"0,75 % a.a","20,00 % a.a"
AJFI11,Shoppings,"7,45","593.172,26","0,61","0,06","0,83 %","2,47 %","5,46 %","11,53 %","0,82 %","0,91 %","0,96 %","7,57 %","-0,41 %","0,41 %","14,46 %","384.210.693,68",N/A,N/A,N/A,N/A,N/A,N/A,13,"13,64",12.781,"0,60 % a.a","0,10 % a.a",N/A
ALMI11,Lajes Corporativas,"641,38","10.465,06","0,33","3,93","0,00 %","1,48 %","2,74 %","7,03 %","0,49 %","0,46 %","0,59 %","4,27 %","0,00 %","0,00 %",N/A,"234.160.784,97","2.046,78","0,31","0,00 %","-0,05 %","-0,05 %","0,90 %",1,"44,77",1.957,N/A,"0,38 % a.a",N/A
ALZC11,Papéis,"7,55","127.334,22","0,80","0,11","1,33 %","3,89 %","8,77 %","16,29 %","1,30 %","1,46 %","1,36 %","10,76 %","-5,39 %","-4,13 %","-1,45 %","189.178.719,25",N/A,N/A,N/A,N/A,N/A,N/A,14,"39,69",9.104,N/A,"1,30 % a.a","20,00 % a.a"
ALZM11,Fundo de Fundos,"6,32","164,43","0,85","0,40","6,30 %","0,00 %","6,30 %","13,17 %","0,00 %","1,05 %","1,10 %","7,55 %","-1,25 %","4,97 %","4,65 %","113.203.496,22","7,46","0,85","1,07 %","-91,94 %","-91,85 %","-91,51 %",14,"17,48",12.195,N/A,"0,80 % a.a","20,00 % a.a"
ALZR11,Misto,"10,02","1.047.501,35","0,93","0,08","0,82 %","2,54 %","5,00 %","9,89 %","0,85 %","0,83 %","0,82 %","6,70 %","-1,08 %","-0,27 %","16,73 %","1.317.134.585,24","10,77","0,93","0,87 %","-89,92 %","-89,84 %","-89,02 %",19,"11,58",165.613,"0,70 % a.a","0,25 % a.a",N/A
APTO11,Imóveis Residenciais,"8,43","11.914,43","0,86","0,09","1,07 %","3,27 %","6,52 %","12,92 %","1,09 %","1,09 %","1,08 %","8,71 %","-0,59 %","0,47 %","9,31 %","45.186.047,74","9,80","0,86","0,98 %","-1,61 %","-0,64 %","13,45 %",3,"20,48",8.330,N/A,"1,50 % a.a","20,00 % a.a"
APXM11,Shoppings,"83,75","169.297,43","0,70","0,25","0,30 %","0,98 %","2,42 %","4,75 %","0,98 %","0,40 %","0,40 %","3,05 %","-7,28 %","-7,01 %","-11,99 %","348.928.821,47",N/A,N/A,N/A,N/A,N/A,N/A,1,"59,01",593,N/A,N/A,N/A
ARCT11,Imóveis Industriais e Logísticos,"87,13","1.053.903,45","0,87","0,50","0,00 %","1,30 %","3,82 %","12,55 %","0,43 %","0,64 %","1,05 %","0,00 %","0,00 %","0,00 %",N/A,"371.534.654,03","99,77","0,87","0,76 %","0,04 %","0,80 %","6,31 %",9,"15,63",43.228,N/A,"1,00 % a.a","20,00 % a.a"
AROA11,Imóveis Industriais e Logísticos,"1,01","3.395,09","1,06","0,01","0,63 %","1,89 %","3,85 %","7,79 %","0,63 %","0,64 %","0,65 %","5,15 %","4,00 %","4,66 %","11,71 %","160.197.706,28",N/A,N/A,N/A,N/A,N/A,N/A,6,"31,54",4.661,N/A,N/A,N/A
ARRI11,Papéis,"6,69","128.915,61","0,80","0,09","1,30 %","3,80 %","7,44 %","14,53 %","1,27 %","1,24 %","1,21 %","9,88 %","-2,80 %","-1,54 %","-4,42 %","175.533.265,54","8,47","0,79","1,06 %","-4,40 %","-3,39 %","-89,38 %",1,"16,29",23.824,N/A,N/A,N/A
ARXD11,Papéis,"7,44","55.965,57","0,82","0,10","1,25 %","3,72 %","7,72 %","15,50 %","1,24 %","1,29 %","1,29 %","10,59 %","-1,68 %","-0,45 %","10,37 %","82.140.658,62",N/A,N/A,N/A,N/A,N/A,N/A,14,"30,75",1.771,N/A,"1,02 % a.a",N/A
ASMT11,Lajes Corporativas,"4,10","12.484,00","0,41","0,08","1,12 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","2,19 %","-4,46 %","-3,39 %","-3,83 %","169.085.584,25",N/A,N/A,N/A,N/A,N/A,N/A,3,"52,59",1,N/A,"1,20 % a.a","20,00 % a.a"
ASRF11,Indefinido,"10.888,00","494,91","1,12","256,33","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"38.854.069,91",N/A,N/A,N/A,N/A,N/A,N/A,2,"21,65",68,N/A,N/A,N/A
ATSA11,Shoppings,"49,22","465,50","0,65","0,15","0,30 %","1,60 %","2,08 %","5,02 %","0,53 %","0,35 %","0,42 %","4,08 %","-0,02 %","0,28 %","-1,81 %","134.519.467,21","76,82","0,64","0,69 %","-5,67 %","-5,02 %","-13,75 %",1,"26,77",299,N/A,"0,50 % a.a",N/A
AURB11,Imóveis Comerciais - Outros,"72,80","15.440.370,00","0,93","0,41","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"85.085.042,30",N/A,N/A,N/A,N/A,N/A,N/A,2,"38,36",19,N/A,N/A,N/A
