TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO;Ticker;Nome;Última (R$);Variação;STOCK;DEPARTMENT;IMAGE
LOGG3;22,18;9,88;5,27;0,52;0,27;97,69;232,52;161,21;3,66;7,58;3,92;0,56;8,50;3,12;-0,34;1,70;9,88;5,16;7,94;0,52;0,48;0,03;11,41;32,59;6.036.886,91;42,57;4,21;0,14;1.948.716.035,72;LOGG3;LOG CP;22,28;+0,50%;LOGG3;Serviços Industriais;https://s3-symbol-logo.tradingview.com/log-commercial-properties--big.svg
LOGN3;24,50;;29,38;2,51;0,66;16,12;13,36;3,07;6,75;10,32;3,57;1,33;0,90;17,98;-0,91;1,16;8,56;2,26;9,52;0,26;0,74;0,74;21,58;51,73;205.387,57;9,75;0,83;0,09;2.629.008.907,00;LOGN3;Log-In;24,70;+0,82%;LOGN3;Transportes;https://s3-symbol-logo.tradingview.com/log-in--big.svg
LPSB3;1,40;5,20;7,21;0,85;0,51;79,51;22,15;13,73;4,47;2,94;-1,53;-0,29;0,99;3,80;-0,73;1,83;11,81;7,10;12,53;0,60;0,42;0,52;5,45;;160.497,83;1,64;0,19;0,41;206.576.483,40;LPSB3;Lopes;1,39;+0,72%;LPSB3;Serviços Comerciais;https://s3-symbol-logo.tradingview.com/lopes--big.svg
LREN3;17,00;4,30;13,17;1,75;0,96;61,17;10,75;8,86;10,86;10,13;-0,72;-0,12;1,17;3,85;-2,33;1,74;13,28;7,30;12,79;0,55;0,45;0,82;8,53;4,47;176.288.108,65;9,72;1,29;0,71;18.017.228.014,00;LREN3;Lojas Renner;17,02;+0,71%;LREN3;Comércio de Varejo;https://s3-symbol-logo.tradingview.com/lojas-renner--big.svg
LUPA3;1,13;;-1,96;0,46;0,10;17,87;18,99;-29,15;3,02;13,80;10,78;1,66;0,57;-1,86;-0,14;0,83;-23,58;-5,12;4,72;0,22;0,78;0,18;30,38;;157.200,17;2,44;-0,58;0,01;49.399.296,96;LUPA3;Lupatech;1,13;+0,00%;LUPA3;Produtor Manufatureiro;https://s3-symbol-logo.tradingview.com/lupatech-on-nm--big.svg
LUXM4;3,70;6,28;4,12;0,96;0,67;27,58;13,82;25,87;7,72;4,36;0,05;0,01;1,07;9,80;-0,82;1,61;23,25;16,29;5,36;0,70;0,30;0,63;2,77;23,50;26.191,70;3,86;0,90;0,03;85.780.800,00;LUXM4;Trevisa;3,75;+1,35%;LUXM4;Transportes;https://s3-symbol-logo.tradingview.com/trevisa-pn--big.svg
LVTC3;3,54;5,37;32,27;0,35;0,16;26,91;6,09;0,80;4,23;1,75;-2,49;-0,20;0,26;0,67;-0,31;1,90;1,08;0,48;6,06;0,45;0,55;0,61;10,59;-19,01;1.036.803,57;10,16;0,11;0,45;224.653.579,02;LVTC3;WDC Networks;3,61;-2,70%;LVTC3;Serviços de Distribuição;https://s3-symbol-logo.tradingview.com/wdc-networkson-nm--big.svg
LWSA3;4,45;2,78;83,91;0,91;0,66;47,60;9,18;2,09;19,13;17,13;-2,00;-0,10;1,76;11,57;-0,95;1,23;1,09;0,78;3,48;0,72;0,28;0,37;28,85;10,68;16.627.883,74;4,87;0,05;0,02;2.518.696.466,70;LWSA3;Locaweb;4,46;+2,53%;LWSA3;Serviços de Tecnologia;https://s3-symbol-logo.tradingview.com/locaweb--big.svg
MAPT4;4,05;;-30,76;-0,57;4,81;;;;-31,01;-27,07;0,00;;;-372,15;-4,81;0,00;-1,86;-15,65;1,85;-8,41;9,41;0,00;;;1.662,75;-7,08;-0,13;0,98;3.248.891,55;MAPT4;Cemepe;4,05;+8,00%;MAPT4;Miscelânea;https://s3-symbol-logo.tradingview.com/cemepe-on--big.svg
MATD3;4,63;1,62;11,90;1,06;0,36;29,06;17,20;6,17;4,27;6,34;2,07;0,52;0,73;1,52;-0,54;3,09;8,94;2,99;8,09;0,33;0,66;0,48;24,89;-1,23;1.478.160,91;4,35;0,39;-0,09;1.544.331.059,75;MATD3;Mater Dei;4,58;-1,08%;MATD3;Serviços de Saúde;https://s3-symbol-logo.tradingview.com/mater-dei-on-nm--big.svg
MDIA3;28,45;1,93;16,43;1,18;0,76;32,75;7,11;5,97;13,81;13,41;-0,41;-0,03;0,98;2,86;-1,42;2,33;7,21;4,62;5,64;0,64;0,36;0,77;9,62;1,05;12.397.387,52;24,01;1,73;-0,43;9.644.550.000,00;MDIA3;M. Dias Branco;28,63;+0,63%;MDIA3;Consumo de Não Duráveis;https://s3-symbol-logo.tradingview.com/m-diasbranco--big.svg
MDNE3;27,76;4,47;7,25;1,39;0,52;33,03;16,84;16,47;7,09;7,64;0,55;0,11;1,19;1,68;-1,04;2,54;19,22;7,10;12,95;0,37;0,63;0,43;30,95;;16.191.397,30;19,91;3,83;0,11;2.357.084.250,00;MDNE3;Moura Dubeux;27,60;+1,21%;MDNE3;Financeiro;https://s3-symbol-logo.tradingview.com/moura-dubeuxon-nm--big.svg
MEAL3;1,38;;-3,00;0,42;0,16;33,85;0,90;-6,23;20,76;33,73;12,98;0,26;0,19;-21,72;-0,20;0,97;-14,05;-5,31;0,68;0,38;0,62;0,85;6,77;;495.016,87;3,27;-0,46;-0,04;395.613.625,20;MEAL3;IMC Alimentação;1,40;+0,72%;MEAL3;Consumo de Não Duráveis;https://s3-symbol-logo.tradingview.com/imc-s-a-on-nm--big.svg
MELK3;3,76;11,70;6,04;0,73;0,30;25,21;11,07;10,65;5,81;6,11;0,30;0,04;0,64;0,64;-1,18;2,65;12,01;4,95;6,04;0,41;0,53;0,46;12,82;23,10;2.307.040,65;5,19;0,62;0,06;775.572.722,16;MELK3;Melnick;3,77;+0,53%;MELK3;Serviços Industriais;https://s3-symbol-logo.tradingview.com/melnick-on-nm--big.svg
MGEL4;6,18;;5,80;1,72;0,05;12,30;6,15;0,61;0,58;11,72;8,87;26,35;0,04;0,58;-0,08;1,27;29,64;0,85;7,61;0,03;0,97;1,39;11,25;;17.168,88;3,60;1,07;-0,04;176.147.394,72;MGEL4;Mangels;5,76;-6,80%;MGEL4;Produtor Manufatureiro;https://s3-symbol-logo.tradingview.com/mangels-indlpn--big.svg
MGLU3;11,27;2,71;21,60;0,75;0,23;30,66;4,37;1,01;4,97;7,41;2,44;0,37;0,22;1,93;-0,47;1,29;3,48;1,04;6,63;0,30;0,70;1,04;13,85;-16,00;182.934.792,22;15,00;0,52;-0,08;8.328.476.444,96;MGLU3;Magazine Luiza;11,31;+5,31%;MGLU3;Comércio de Varejo;https://s3-symbol-logo.tradingview.com/magaz-luiza-on-nm--big.svg
MILS3;12,00;4,21;9,32;1,84;0,74;63,21;33,84;17,58;4,84;6,98;2,14;0,81;1,64;4,19;-1,10;2,21;19,69;7,96;12,33;0,40;0,59;0,45;29,09;;9.580.051,26;6,54;1,29;1,73;2.810.138.484,00;MILS3;Mills;11,96;-0,17%;MILS3;Financeiro;https://s3-symbol-logo.tradingview.com/mills--big.svg
MLAS3;1,08;;-7,67;0,30;0,17;24,21;0,49;-3,33;52,47;61,82;9,35;0,05;0,26;0,48;-0,51;2,04;-3,89;-2,16;-1,93;0,56;0,44;0,65;12,16;;1.470.480,48;3,62;-0,14;0,09;886.182.363,00;MLAS3;Multilaser;1,08;+2,86%;MLAS3;Tecnologia Eletrônica;https://s3-symbol-logo.tradingview.com/multilaser-on-ed-nm--big.svg
MNDL3;18,04;;-22,37;1,19;0,12;36,85;12,73;-0,81;1,42;5,35;3,93;3,30;0,18;-1,38;-0,22;0,82;-5,32;-0,56;17,45;0,10;0,90;0,69;14,83;;30.703,00;15,15;-0,81;0,40;178.975.561,60;MNDL3;Mundial;18,02;-0,11%;MNDL3;Consumo de Não Duráveis;https://s3-symbol-logo.tradingview.com/mundial-on--big.svg
MNPR3;41,25;;0,57;1,53;0,68;29,49;47,47;126,32;1,50;0,98;-0,53;-0,53;0,71;1,98;-1,42;2,98;270,70;120,92;7,31;0,45;0,55;0,96;8,54;;205.314,48;26,96;72,99;0,00;292.879.125,00;MNPR3;Minupar;41,10;-0,36%;MNPR3;Industrias de Processamento;https://s3-symbol-logo.tradingview.com/minupar-on--big.svg
MOAR3;111,00;45,22;-63,96;1,52;0,67;;;;-9,77;-6,80;2,97;-0,46;;1,54;-1,66;3,68;-2,38;-1,05;-19,70;0,44;0,56;0,00;;;55.678,55;73,01;-1,74;0,60;1.359.885.531,00;MOAR3;Monteiro Aranha;111,21;+0,19%;MOAR3;Financeiro;https://s3-symbol-logo.tradingview.com/mont-aranha-on--big.svg
MOTV3;14,78;3,31;14,34;2,03;0,46;38,35;29,61;9,89;4,79;9,97;5,18;2,20;1,42;6,17;-0,55;1,88;14,16;3,23;11,18;0,23;0,77;0,33;15,52;7,68;86.571.453,39;7,28;1,03;0,30;29.855.600.000,00;MOTV3;Motiva;14,83;+0,61%;MOTV3;Transportes;https://s3-symbol-logo.tradingview.com/motiva-sa-on-nm--big.svg
MOVI3;8,79;2,02;10,68;1,15;0,10;30,93;20,55;2,01;1,04;6,52;5,47;6,06;0,21;-1,38;-0,14;0,77;10,81;0,96;12,90;0,09;0,91;0,48;28,58;4,69;24.904.693,61;7,61;0,82;-0,07;3.058.317.586,14;MOVI3;Movida;8,78;+2,81%;MOVI3;Financeiro;https://s3-symbol-logo.tradingview.com/movida-on-nm--big.svg
MRFG3;26,90;20,95;7,93;7,92;0,16;12,80;3,71;1,78;3,80;11,09;7,29;15,19;0,14;2,31;-0,27;1,22;99,86;2,05;2,69;0,02;0,86;1,16;25,01;66,97;160.984.487,65;3,40;3,39;0,00;22.457.340.076,40;MRFG3;Marfrig;26,92;-2,18%;MRFG3;Consumo de Não Duráveis;https://s3-symbol-logo.tradingview.com/marfrig-on-nm--big.svg
MRSA3B;27,88;3,39;6,24;1,14;0,47;43,15;35,63;21,15;3,70;5,42;1,91;0,59;1,32;-41,18;-0,57;0,94;18,34;7,55;11,60;0,41;0,59;0,36;17,02;24,57;13.940,50;24,35;4,47;0,72;8.913.207.444,88;MRSA3B;MRS Logística;27,88;+0,00%;MRSA3B;Transportes;https://s3-symbol-logo.tradingview.com/mrs-logistica--big.svg
MRSA5B;24,50;4,28;5,48;1,01;0,41;43,15;35,63;21,15;3,26;5,42;1,91;0,59;1,16;-36,19;-0,50;0,94;18,34;7,55;11,60;0,41;0,59;0,36;17,02;24,57;7.350,00;24,35;4,47;0,63;8.913.207.444,88;MRSA5B;MRS Logística;24,50;+0,00%;MRSA5B;Transportes;https://s3-symbol-logo.tradingview.com/mrs-logistica--big.svg
MRSA6B;25,00;4,19;5,60;1,03;0,42;43,15;35,63;21,15;3,32;5,42;1,91;0,59;1,18;-36,93;-0,51;0,94;18,34;7,55;11,60;0,41;0,59;0,36;17,02;24,57;5.000,00;24,35;4,47;0,65;8.913.207.444,88;MRSA6B;MRS Logística;25,00;+0,00%;MRSA6B;Transportes;https://s3-symbol-logo.tradingview.com/mrs-logistica--big.svg
MRVE3;7,83;;-3,07;0,85;0,16;27,82;-3,61;-14,61;-12,44;-33,70;-21,26;1,46;0,45;0,73;-0,35;1,68;-27,79;-5,23;-4,38;0,19;0,78;0,36;8,27;;56.057.685,00;9,16;-2,55;-0,02;4.406.932.833,93;MRVE3;MRV;7,81;+2,76%;MRVE3;Consumo Duráveis;https://s3-symbol-logo.tradingview.com/mrv--big.svg
MSPA3;46,00;;-25,87;0,36;0,20;38,28;14,59;-6,59;11,68;17,68;6,18;0,19;1,70;16,94;-0,22;1,15;-1,38;-0,78;1,16;0,57;0,43;0,12;6,03;;4.625,00;128,69;-1,78;0,05;289.986.630,00;MSPA3;Melhoramentos;46,00;-1,08%;MSPA3;Industrias de Processamento;https://s3-symbol-logo.tradingview.com/melhor-sp-pn--big.svg
MSPA4;40,00;;-22,50;0,31;0,18;38,28;14,59;-6,59;10,15;17,68;6,18;0,19;1,48;14,73;-0,19;1,15;-1,38;-0,78;1,16;0,57;0,43;0,12;6,03;;4.000,00;128,69;-1,78;0,05;289.986.630,00;MSPA4;Melhoramentos;40,00;+0,00%;MSPA4;Industrias de Processamento;https://s3-symbol-logo.tradingview.com/melhor-sp-pn--big.svg
MTRE3;3,94;12,96;7,26;0,42;0,18;25,24;8,14;5,04;4,49;9,71;5,22;0,49;0,37;0,38;-0,99;2,35;5,79;2,49;3,91;0,43;0,55;0,49;30,48;12,44;2.052.900,96;9,38;0,54;0,07;416.752.790,80;MTRE3;Mitre Realty;3,94;+1,29%;MTRE3;Financeiro;https://s3-symbol-logo.tradingview.com/mitre-realtyon-nm--big.svg
MTSA4;42,00;6,55;8,61;0,79;0,64;24,19;7,82;7,90;8,70;8,62;-3,40;-0,31;0,68;1,06;-2,77;4,51;9,13;7,39;1,92;0,81;0,19;0,94;11,91;18,95;259.843,52;53,43;4,88;-0,50;510.246.289,70;MTSA4;Metisa;43,30;+3,10%;MTSA4;Produtor Manufatureiro;https://s3-symbol-logo.tradingview.com/metisa-pn-ej--big.svg
MULT3;28,72;3,88;11,42;2,50;1,20;81,08;66,12;47,77;8,25;10,71;2,45;0,74;5,46;34,61;-1,40;1,31;21,85;10,48;14,52;0,48;0,52;0,22;14,28;22,33;72.326.522,57;11,51;2,51;0,72;14.738.061.492,72;MULT3;Multiplan;29,07;+1,22%;MULT3;Financeiro;https://s3-symbol-logo.tradingview.com/multiplan-on-n2--big.svg
MWET4;10,20;;2,92;1,84;0,07;6,79;19,86;2,84;0,42;2,33;1,87;8,25;0,08;-0,52;-0,11;0,75;62,95;2,29;34,56;0,04;0,96;0,81;9,33;;12.927,13;5,55;3,50;-0,02;22.912.433,40;MWET4;Wetzel;10,20;-0,97%;MWET4;Produtor Manufatureiro;https://s3-symbol-logo.tradingview.com/wetzel-s-a-on--big.svg
MYPK3;13,41;4,35;7,49;0,48;0,14;12,17;6,76;1,73;1,91;5,55;3,63;0,91;0,13;0,74;-0,26;1,68;6,37;1,84;8,46;0,29;0,68;1,07;8,89;-3,99;8.575.956,04;28,09;1,79;0,03;2.061.379.849,41;MYPK3;Iochpe-Maxion;13,34;-0,67%;MYPK3;Produtor Manufatureiro;https://s3-symbol-logo.tradingview.com/iochp-maxionon--big.svg
NATU3;8,86;;18,11;1,29;0,61;66,69;5,04;2,98;10,71;10,86;0,15;0,02;0,54;1,77;-1,87;2,03;7,11;3,35;4,05;0,47;0,53;1,12;;;114.580.527,35;6,88;0,49;-0,20;12.178.580.841,02;NATU3;NATURA;8,87;+1,37%;NATU3;Consumo de Não Duráveis;https://s3-symbol-logo.tradingview.com/natura-and-co--big.svg
NEOE3;28,84;2,87;8,09;0,99;0,32;26,70;19,64;8,48;3,49;7,98;4,49;1,28;0,69;11,47;-0,39;1,17;12,28;3,90;11,36;0,32;0,68;0,46;11,47;14,17;40.976.790,09;29,02;3,56;-2,67;35.005.912.632,32;NEOE3;Neoenergia;28,75;+0,67%;NEOE3;Serviços Públicos;https://s3-symbol-logo.tradingview.com/neoenergia--big.svg
NEXP3;3,45;;0,11;-0,17;0,31;45,17;91,83;70,38;0,08;0,04;-0,04;;0,08;-0,36;-0,66;0,39;-155,40;284,68;-197,02;-1,83;2,82;4,04;-3,43;;2.813,79;-20,51;31,88;0,00;9.161.713,05;NEXP3;Brasil Brokers;3,45;+0,00%;NEXP3;Financeiro;https://s3-symbol-logo.tradingview.com/nexpe-on--big.svg
NGRD3;26,10;;-7,78;0,54;0,40;58,13;-15,24;-11,11;-5,67;-2,97;2,69;-0,26;0,86;1,99;-0,63;2,28;-6,95;-5,16;-9,86;0,74;0,26;0,46;5,77;;112.867,13;48,27;-3,36;-0,02;238.578.638,40;NGRD3;Neogrid;26,15;+0,19%;NGRD3;Serviços de Tecnologia;https://s3-symbol-logo.tradingview.com/neogrid--big.svg
NORD3;5,33;;0,93;-0,28;1,81;90,53;1.236,98;1.455,20;1,09;2,31;1,22;;13,54;-0,28;-1,98;0,01;-29,93;194,45;-25,85;-6,50;7,50;0,13;13,33;;642,83;-19,14;5,73;0,00;35.292.520,38;NORD3;Nordon;5,33;+0,38%;NORD3;Produtor Manufatureiro;https://s3-symbol-logo.tradingview.com/nordon-met-on--big.svg
NUTR3;3,03;;7,06;0,93;0,29;14,65;6,37;2,47;2,74;3,40;0,66;0,22;0,17;1,20;-1,11;1,50;13,15;4,16;18,50;0,32;0,68;1,68;25,86;-30,25;7.357,65;3,27;0,43;-1,33;40.130.532,00;NUTR3;Nutriplant;2,85;-5,94%;NUTR3;Industrias de Processamento;https://s3-symbol-logo.tradingview.com/nutriplant-on-ma--big.svg
ODPV3;13,26;7,30;12,48;5,60;3,42;37,20;32,49;24,70;9,49;9,00;-0,49;-0,29;3,08;-37,21;-4,48;0,72;44,90;27,38;25,70;0,61;0,39;1,11;4,75;15,29;13.891.331,43;2,37;1,06;1,21;7.237.643.292,36;ODPV3;Odontoprev;13,26;-0,08%;ODPV3;Serviços de Saúde;https://s3-symbol-logo.tradingview.com/odontoprev--big.svg
OFSA3;23,37;3,11;9,63;1,92;0,95;51,27;80,12;12,14;1,46;1,76;0,30;0,39;1,17;2,26;-2,55;3,01;19,90;9,86;77,13;0,50;0,50;0,81;10,59;23,11;137.759,39;12,19;2,43;0,07;1.260.788.270,22;OFSA3;Ourofino Saúde Animal;23,36;+0,00%;OFSA3;Tecnologia em Saúde;https://s3-symbol-logo.tradingview.com/ourofino-s-aon-nm--big.svg
OIBR3;0,54;;-0,10;-0,01;0,01;-830,11;-402,10;-808,94;-0,19;-11,17;-10,96;;0,78;-0,06;-0,01;0,59;-11,89;-9,84;21,85;-0,83;1,83;0,01;-30,86;;1.135.519,39;-46,94;-5,58;0,00;189.101.597,16;OIBR3;Oi;0,55;+0,00%;OIBR3;Comunicações;https://s3-symbol-logo.tradingview.com/oi--big.svg
OIBR4;7,41;;-1,33;-0,16;0,13;-830,11;-402,10;-808,94;-2,67;-11,17;-10,96;;10,74;-0,77;-0,17;0,59;-11,89;-9,84;21,85;-0,83;1,83;0,01;-30,86;;105.668,52;-46,94;-5,58;0,01;189.101.597,16;OIBR4;Oi;7,38;-0,40%;OIBR4;Comunicações;https://s3-symbol-logo.tradingview.com/oi--big.svg
ONCO3;2,94;;-2,05;0,68;0,19;30,91;-6,50;-15,37;-4,86;-15,71;-10,85;1,52;0,32;2,01;-0,28;1,40;-33,18;-9,19;-6,27;0,28;0,70;0,60;;;11.963.537,87;4,31;-1,43;0,00;1.944.559.006,32;ONCO3;Oncoclínicas;2,90;-3,97%;ONCO3;Serviços de Saúde;https://s3-symbol-logo.tradingview.com/oncoclinicason-nm--big.svg
OPCT3;7,78;;-180,29;1,70;0,55;25,33;12,29;-0,48;6,97;12,58;5,61;1,36;0,86;5,09;-0,80;1,54;-0,94;-0,31;6,03;0,33;0,67;0,65;31,17;;5.863.571,13;4,58;-0,04;1,31;1.555.685.330,12;OPCT3;OceanPact;7,82;+3,44%;OPCT3;Serviços Comerciais;https://s3-symbol-logo.tradingview.com/oceanpact-on-nm--big.svg
ORVR3;56,56;;123,36;3,88;1,34;45,52;28,34;4,48;19,49;22,97;3,48;0,69;5,52;6,90;-2,03;2,36;3,14;1,09;7,58;0,35;0,63;0,24;21,01;72,26;23.737.017,83;14,59;0,46;-1,91;5.436.935.823,76;ORVR3;Orizon;57,46;+1,59%;ORVR3;Serviços Públicos;https://s3-symbol-logo.tradingview.com/orizon-on-nm--big.svg
OSXB3;2,37;;0,00;0,00;0,01;98,80;-1.337,01;-2.132,11;-0,01;-7,26;-7,25;;0,10;-0,01;-0,01;0,02;-17,64;-112,44;73,96;-6,37;7,38;0,05;39,92;;8.530,73;-2.827,35;-498,87;0,00;7.460.850,06;OSXB3;OSX Brasil;2,33;-1,69%;OSXB3;Serviços Industriais;https://s3-symbol-logo.tradingview.com/osx-brasil-on-nm--big.svg
PATI3;46,43;1,70;13,77;1,44;0,73;12,02;5,81;3,74;8,86;8,87;0,07;0,01;0,51;1,85;-2,62;2,22;10,42;5,32;7,64;0,51;0,49;1,42;14,96;35,25;45.970,53;32,34;3,37;0,12;1.103.080.133,27;PATI3;Panatlântica;47,00;+1,23%;PATI3;Produtor Manufatureiro;https://s3-symbol-logo.tradingview.com/panatlanticapn--big.svg
PATI4;38,53;5,00;11,43;1,19;0,61;12,02;5,81;3,74;7,35;8,87;0,07;0,01;0,43;1,53;-2,18;2,22;10,42;5,32;7,64;0,51;0,49;1,42;14,96;35,25;8.682,79;32,34;3,37;0,10;1.103.080.133,27;PATI4;Panatlântica;38,53;+7,03%;PATI4;Produtor Manufatureiro;https://s3-symbol-logo.tradingview.com/panatlanticapn--big.svg
PCAR3;4,06;;-1,11;0,78;0,11;27,44;-1,00;-9,40;-10,37;-24,05;-13,68;1,03;0,10;-6,70;-0,15;0,95;-70,51;-9,80;-8,30;0,14;0,86;1,04;-19,80;;65.113.908,39;5,21;-3,67;0,04;1.990.991.666,16;PCAR3;Grupo Pão de Açúcar;4,06;-2,17%;PCAR3;Comércio de Varejo;https://s3-symbol-logo.tradingview.com/cia-brasileira-distr-pao-de-acucar--big.svg
PDGR3;0,15;;-0,01;0,00;0,01;20,48;-68,41;-341,79;-0,05;-4,20;-4,15;;0,03;-0,01;-0,03;0,33;-13,92;-92,82;8,98;-6,67;7,81;0,27;-16,76;;212.336,09;-115,52;-16,09;0,00;4.453.654,50;PDGR3;PDG Realty;0,15;+0,00%;PDGR3;Financeiro;https://s3-symbol-logo.tradingview.com/pdg-realt--big.svg
PDTC3;1,07;;8,46;0,72;0,13;76,76;75,08;53,67;6,05;23,06;17,01;2,03;4,54;0,34;-0,33;2,80;8,52;1,56;3,21;0,18;0,82;0,03;;13,07;49.788,09;1,48;0,13;-0,02;85.032.499,82;PDTC3;Padtec;1,06;-0,93%;PDTC3;Tecnologia Eletrônica;https://s3-symbol-logo.tradingview.com/padtec-on-nm--big.svg
PEAB4;35,00;2,52;16,91;0,73;0,51;56,77;33,27;36,01;18,31;17,61;-0,88;-0,03;6,09;3,22;-0,63;6,02;4,30;3,03;3,09;0,70;0,30;0,08;-26,42;-3,02;29.093,14;48,11;2,07;0,21;668.427.573,10;PEAB4;Participações Aliança da Bahia;35,00;+0,00%;PEAB4;Financeiro;https://s3-symbol-logo.tradingview.com/par-al-bahiaon--big.svg
PETR3;34,30;15,24;5,71;1,11;0,38;49,10;27,00;15,69;3,32;5,61;2,40;0,80;0,90;-10,20;-0,43;0,76;19,38;6,59;7,99;0,34;0,66;0,42;10,18;14,03;260.345.061,00;30,97;6,00;-3,24;427.595.840.034,16;PETR3;Petrobras;34,44;+0,76%;PETR3;Minerais Energéticos;https://s3-symbol-logo.tradingview.com/brasileiro-petrobras--big.svg
PETR4;31,64;16,55;5,27;1,02;0,35;49,10;27,00;15,69;3,06;5,61;2,40;0,80;0,83;-9,41;-0,39;0,76;19,38;6,59;7,99;0,34;0,66;0,42;10,18;14,03;698.886.547,48;30,97;6,00;-2,98;427.595.840.034,16;PETR4;Petrobras;31,72;+0,60%;PETR4;Minerais Energéticos;https://s3-symbol-logo.tradingview.com/brasileiro-petrobras--big.svg
PETZ3;3,96;7,28;-113,32;1,09;0,48;46,97;2,85;-0,47;18,62;19,17;0,55;0,03;0,53;3,17;-0,75;1,72;-0,96;-0,42;4,58;0,44;0,56;0,91;27,50;;22.381.524,43;3,64;-0,03;-0,50;1.832.450.103,00;PETZ3;Petz;3,98;+0,76%;PETZ3;Industrias de Processamento;https://s3-symbol-logo.tradingview.com/petz--big.svg
PFRM3;6,99;8,23;7,33;0,65;0,16;14,84;2,81;1,07;2,79;5,51;2,72;0,63;0,08;1,01;-0,53;1,30;8,83;2,20;10,94;0,25;0,70;2,05;16,16;58,02;1.134.828,61;10,79;0,95;0,24;865.451.283,27;PFRM3;Profarma;6,94;-7,22%;PFRM3;Serviços de Distribuição;https://s3-symbol-logo.tradingview.com/profarma--big.svg
PGMN3;3,64;6,95;14,30;0,82;0,25;31,86;5,06;1,16;3,27;5,38;2,10;0,52;0,17;1,25;-0,55;1,58;5,70;1,74;12,89;0,30;0,69;1,50;14,51;;4.268.034,43;4,46;0,25;0,25;2.266.528.759,04;PGMN3;Pague Menos;3,65;+2,24%;PGMN3;Comércio de Varejo;https://s3-symbol-logo.tradingview.com/pague-menos-on-nm--big.svg
PINE3;8,03;6,51;9,50;1,56;0,06;19,10;3,60;4,39;11,58;11,73;;;0,42;-0,84;-0,06;0,02;16,45;0,64;;0,04;0,96;0,15;25,71;;15.910,23;5,14;0,85;0,54;1.845.071.722,34;PINE3;Banco Pine;8,20;+2,12%;PINE3;Financeiro;https://s3-symbol-logo.tradingview.com/pine-pn-rec-n2--big.svg
PINE4;8,25;6,33;9,76;1,61;0,06;19,10;3,60;4,39;11,89;11,73;;;0,43;-0,86;-0,06;0,02;16,45;0,64;;0,04;0,96;0,15;25,71;;2.165.369,17;5,14;0,85;0,56;1.845.071.722,34;PINE4;Banco Pine;8,20;+4,46%;PINE4;Financeiro;https://s3-symbol-logo.tradingview.com/pine-pn-rec-n2--big.svg
PLAS3;4,99;;-0,38;-0,10;0,10;12,04;-1,85;-14,34;-2,91;-15,30;-12,39;;0,05;-0,16;-0,14;0,33;-26,34;-26,53;12,94;-1,01;2,01;1,85;22,66;;2.355,67;-50,46;-13,29;-0,02;62.002.835,82;PLAS3;Plascar;4,99;+0,00%;PLAS3;Produtor Manufatureiro;https://s3-symbol-logo.tradingview.com/plascar-parton--big.svg
PLPL3;18,17;5,54;10,36;4,07;1,21;33,16;17,90;12,84;7,44;7,81;0,37;0,20;1,33;1,97;-7,59;3,74;39,24;11,72;24,89;0,30;0,68;0,91;29,22;28,45;14.287.833,96;4,47;1,75;0,49;3.704.881.170,00;PLPL3;Plano&Plano;18,00;+1,87%;PLPL3;Financeiro;https://s3-symbol-logo.tradingview.com/planoeplano-on-nm--big.svg
PMAM3;1,73;;-0,09;-0,02;0,09;-30,88;-74,88;-283,89;-0,35;-13,31;-12,96;;0,26;-0,02;-0,12;0,05;-23,04;-98,35;29,61;-4,27;5,27;0,35;-38,50;;625.121,09;-81,76;-18,84;0,03;140.879.181,69;PMAM3;Paranapanema;1,70;+3,03%;PMAM3;Minerais Não-Energéticos;https://s3-symbol-logo.tradingview.com/paranapanemaon-nm--big.svg
PNVL3;9,66;3,76;12,38;1,18;0,44;31,98;4,47;2,28;6,30;10,76;4,46;0,83;0,28;1,77;-1,03;1,75;9,51;3,53;8,18;0,37;0,63;1,55;12,65;8,87;3.342.651,26;8,21;0,78;0,43;1.452.646.466,46;PNVL3;Dimed;9,78;+1,24%;PNVL3;Comércio de Varejo;https://s3-symbol-logo.tradingview.com/dimed--big.svg
POMO3;8,28;7,49;7,80;2,25;0,99;24,70;15,90;13,46;6,60;8,30;0,95;0,32;1,05;3,54;-2,49;1,87;28,89;12,71;12,43;0,44;0,55;0,94;14,78;43,05;3.170.288,26;3,67;1,06;0,36;10.468.755.697,14;POMO3;Marcopolo;8,23;+2,24%;POMO3;Produtor Manufatureiro;https://s3-symbol-logo.tradingview.com/marcopolo--big.svg
