TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO;Ticker;Nome;Última (R$);Variação;STOCK;DEPARTMENT;IMAGE
HOOT4;3,98;;0,67;-2,12;0,14;68,48;77,70;58,28;0,50;0,00;-0,22;;0,39;-1,96;-0,17;0,73;-318,73;21,15;-187,24;-0,07;1,13;0,36;12,34;;24.121,36;-1,88;5,98;0,01;31.420.086,12;HOOT4;Hotéis Othon;3,94;-1,01%;HOOT4;Consumo de Serviços;https://s3-symbol-logo.tradingview.com/hoteis-othonpn--big.svg
HYPE3;23,57;4,54;20,10;1,25;0,62;56,10;14,62;11,15;15,33;23,17;7,84;0,64;2,24;12,71;-0,80;1,26;6,19;3,06;-0,17;0,49;0,51;0,27;17,70;-8,60;48.515.656,78;18,93;1,17;-0,36;14.929.728.798,11;HYPE3;Hypera;23,58;+2,43%;HYPE3;Tecnologia em Saúde;https://s3-symbol-logo.tradingview.com/hypera--big.svg
IFCM3;0,25;;-0,11;-0,13;0,02;30,28;-5,88;-24,94;-0,47;-16,09;-15,62;;0,03;0,11;-0,04;1,51;-117,38;-16,12;-9,03;-0,14;1,14;0,65;50,42;;1.534.170,26;-1,92;-2,26;0,00;26.189.206,50;IFCM3;Infracommerce;0,25;+0,00%;IFCM3;Serviços de Distribuição;https://s3-symbol-logo.tradingview.com/infracomm-dm-100--big.svg
IGTI11;24,45;2,76;17,59;2,18;1,01;72,07;74,54;40,96;9,67;8,69;2,34;0,53;7,21;4,75;-1,43;3,67;12,38;5,75;10,93;0,46;0,54;0,14;10,36;34,15;46.648.408,22;11,23;1,39;0,27;6.457.465.783,50;IGTI11;Iguatemi;24,21;+0,67%;IGTI11;;https://s3-symbol-logo.tradingview.com/iguatemi-saon-n1--big.svg
IGTI11;24,45;2,76;17,59;2,18;1,01;72,07;74,54;40,96;9,67;8,69;2,34;0,53;7,21;4,75;-1,43;3,67;12,38;5,75;10,93;0,46;0,54;0,14;10,36;34,15;46.648.408,22;11,23;1,39;0,27;6.457.465.783,50;IGTI11;Jereissati Participações;24,21;+0,67%;IGTI11;;https://s3-symbol-logo.tradingview.com/iguatemi-saon-n1--big.svg
IGTI3;2,92;3,30;6,30;0,78;0,36;72,07;74,54;40,96;3,46;8,69;2,34;0,53;2,58;1,70;-0,51;3,67;12,38;5,75;10,93;0,46;0,54;0,14;10,36;34,15;111.065,48;3,74;0,46;0,10;6.457.465.783,50;IGTI3;Iguatemi;2,93;+1,38%;IGTI3;Financeiro;https://s3-symbol-logo.tradingview.com/iguatemi-saon-n1--big.svg
IGTI3;2,92;3,30;6,30;0,78;0,36;72,07;74,54;40,96;3,46;8,69;2,34;0,53;2,58;1,70;-0,51;3,67;12,38;5,75;10,93;0,46;0,54;0,14;10,36;34,15;111.065,48;3,74;0,46;0,10;6.457.465.783,50;IGTI3;Jereissati Participações;2,93;+1,38%;IGTI3;Financeiro;https://s3-symbol-logo.tradingview.com/iguatemi-saon-n1--big.svg
IGTI4;10,49;2,76;22,64;2,80;1,30;72,07;74,54;40,96;12,44;8,69;2,34;0,53;9,27;6,11;-1,84;3,67;12,38;5,75;10,93;0,46;0,54;0,14;10,36;34,15;252.016,20;3,74;0,46;0,34;6.457.465.783,50;IGTI4;Iguatemi;10,49;+0,87%;IGTI4;Financeiro;https://s3-symbol-logo.tradingview.com/iguatemi-saon-n1--big.svg
IGTI4;10,49;2,76;22,64;2,80;1,30;72,07;74,54;40,96;12,44;8,69;2,34;0,53;9,27;6,11;-1,84;3,67;12,38;5,75;10,93;0,46;0,54;0,14;10,36;34,15;252.016,20;3,74;0,46;0,34;6.457.465.783,50;IGTI4;Jereissati Participações;10,49;+0,87%;IGTI4;Financeiro;https://s3-symbol-logo.tradingview.com/iguatemi-saon-n1--big.svg
INEP3;1,75;;-0,36;-0,05;0,09;-44,73;-3.320,19;-6.990,85;-0,75;-9,45;-8,74;;24,99;-0,07;-0,10;0,08;-15,09;-24,56;21,46;-1,63;2,63;0,00;-19,65;;87.462,91;-32,43;-4,89;0,00;77.195.543,72;INEP3;Inepar;1,75;+4,17%;INEP3;Serviços Industriais;https://s3-symbol-logo.tradingview.com/inepar-on--big.svg
