STOCK;NAME;DEPARTMENT;IMAGE
EKTR4;Elektro Redes S.A. Pfd Shs;Serviços Públicos;https://s3-symbol-logo.tradingview.com/elektro-pn--big.svg
ELET3;Centrais Eletricas Brasileiras SA-Eletrobras;Serviços Públicos;https://s3-symbol-logo.tradingview.com/centrais-eletr-bras-sa--big.svg
ELET5;Centrais Eletricas Brasileiras SA-Eletrobras Pfd A;Serviços Públicos;https://s3-symbol-logo.tradingview.com/centrais-eletr-bras-sa--big.svg
ELET6;Centrais Eletricas Brasileiras SA-Eletrobras Pfd B;Serviços Públicos;https://s3-symbol-logo.tradingview.com/centrais-eletr-bras-sa--big.svg
EMAE3;EMAE-Empresa Metropolitana de Aguas e Energia SA;Serviços Públicos;https://s3-symbol-logo.tradingview.com/emae-pn--big.svg
EMAE4;EMAE-Empresa Metropolitana de Aguas e Energia SA Pfd Registered;Serviços Públicos;https://s3-symbol-logo.tradingview.com/emae-pn--big.svg
EMBR3;Embraer S.A.;Tecnologia Eletrônica;https://s3-symbol-logo.tradingview.com/embraer--big.svg
ENEV3;Eneva S.A.;Serviços Públicos;https://s3-symbol-logo.tradingview.com/eneva--big.svg
ENGI11;Energisa SA Units Cons of 1 Sh + 4 Pfd Shs;;https://s3-symbol-logo.tradingview.com/energisa-unt-n2--big.svg
ENGI3;Energisa SA;Serviços Públicos;https://s3-symbol-logo.tradingview.com/energisa-unt-n2--big.svg
ENGI4;Energisa SA Pfd Shs Non-Voting;Serviços Públicos;https://s3-symbol-logo.tradingview.com/energisa-unt-n2--big.svg
ENJU3;Enjoei SA;Comércio de Varejo;https://s3-symbol-logo.tradingview.com/enjoei-on-nm--big.svg
ENMT3;Energisa Mato Grosso - Distribuidora de Energia Sa;Serviços Públicos;https://s3-symbol-logo.tradingview.com/energisa-mt-on--big.svg
ENMT4;Energisa Mato Grosso - Distribuidora de Energia Sa Pfd Shs;Serviços Públicos;https://s3-symbol-logo.tradingview.com/energisa-mt-on--big.svg
EPAR3;Embpar Participacoes SA;Produtor Manufatureiro;https://s3-symbol-logo.tradingview.com/embpar-s-a-on--big.svg
EQPA3;Equatorial Para Distribuidora de Energia SA;Serviços Públicos;https://s3-symbol-logo.tradingview.com/eqtl-para-on--big.svg
EQPA5;Equatorial Para Distribuidora de Energia SA Pfd Registered Shs A;Serviços Públicos;https://s3-symbol-logo.tradingview.com/eqtl-para-on--big.svg
EQPA6;Equatorial Para Distribuidora de Energia SA Pfd Registered Shs B;Serviços Públicos;https://s3-symbol-logo.tradingview.com/eqtl-para-on--big.svg
EQPA7;Equatorial Para Distribuidora de Energia SA Pfd Registered Shs C;Serviços Públicos;https://s3-symbol-logo.tradingview.com/eqtl-para-on--big.svg
EQTL3;Equatorial S.A.;Serviços Públicos;https://s3-symbol-logo.tradingview.com/equatorial--big.svg
ESPA3;MPM Corporeos SA;Consumo de Serviços;https://s3-symbol-logo.tradingview.com/espacolaser-on-nm--big.svg
ESTR3;Manufatura de Brinquedos Estrela SA;Consumo Duráveis;https://s3-symbol-logo.tradingview.com/estrela-pn--big.svg
ESTR4;Manufatura de Brinquedos Estrela SA Pfd;Consumo Duráveis;https://s3-symbol-logo.tradingview.com/estrela-pn--big.svg
ETER3;Eternit S.A.;Minerais Não-Energéticos;https://s3-symbol-logo.tradingview.com/eternit--big.svg
EUCA3;Eucatex S.A. Industria e Comercio;Minerais Não-Energéticos;https://s3-symbol-logo.tradingview.com/eucatex-pn-n1--big.svg
EUCA4;Eucatex S.A. Industria E Comercio Non-Cum Perp Pfd Registered Shs;Minerais Não-Energéticos;https://s3-symbol-logo.tradingview.com/eucatex-pn-n1--big.svg
EVEN3;Even Construtora E Incorporadora S.A.;Financeiro;https://s3-symbol-logo.tradingview.com/even--big.svg
EZTC3;EZ TEC Empreendimentos e Participacoes SA;Financeiro;https://s3-symbol-logo.tradingview.com/eztec--big.svg
FESA3;Cia de Ferro Ligas da Bahia;Minerais Não-Energéticos;https://s3-symbol-logo.tradingview.com/ferbasa--big.svg
FESA4;Cia de Ferro Ligas da Bahia-Ferbasa Pfd;Minerais Não-Energéticos;https://s3-symbol-logo.tradingview.com/ferbasa--big.svg
FHER3;Fertilizantes Heringer S.A.;Industrias de Processamento;https://s3-symbol-logo.tradingview.com/fer-heringeron-nm--big.svg
FICT3;Fictor Alimentos SA;Serviços Comerciais;https://s3-symbol-logo.tradingview.com/fictoralimenon--big.svg
FIEI3;Fica Empreendimentos Imobiliarios SA;Financeiro;https://s3-symbol-logo.tradingview.com/fica-on--big.svg
FIGE3;Investimentos Bemge S.A.;Financeiro;https://s3-symbol-logo.tradingview.com/invest-bemgeon--big.svg
FIGE4;Investimentos Bemge SA Pfd;Financeiro;https://s3-symbol-logo.tradingview.com/invest-bemgeon--big.svg
FIQE3;Unifique Telecomunicacoes SA;Comunicações;https://s3-symbol-logo.tradingview.com/unifique-on-nm--big.svg
FLRY3;Fleury SA;Serviços de Saúde;https://s3-symbol-logo.tradingview.com/fleury-on-nm--big.svg
FRAS3;Fras-Le S.A.;Produtor Manufatureiro;https://s3-symbol-logo.tradingview.com/fras-le-on-n1--big.svg
FRIO3;Metalfrio Solutions S.A.;Produtor Manufatureiro;https://s3-symbol-logo.tradingview.com/metalfrio-on-nm--big.svg
G2DI33;G2D Investments, Ltd. Shs Unsponsored Brazilian Depository Receipt Repr 1 Sh;Financeiro;https://s3-symbol-logo.tradingview.com/g2d-invest-dr3--big.svg
GEPA3;Rio Paranapanema Energia SA;Serviços Públicos;https://s3-symbol-logo.tradingview.com/ger-paranap-pn--big.svg
GEPA4;Rio Paranapanema Energia SA Pfd Registered;Serviços Públicos;https://s3-symbol-logo.tradingview.com/ger-paranap-pn--big.svg
GFSA3;Gafisa S.A.;Financeiro;https://s3-symbol-logo.tradingview.com/gafisa--big.svg
GGBR3;Gerdau S.A.;Minerais Não-Energéticos;https://s3-symbol-logo.tradingview.com/gerdau--big.svg
GGBR4;Gerdau S.A. Pfd;Minerais Não-Energéticos;https://s3-symbol-logo.tradingview.com/gerdau--big.svg
GGPS3;GPS Participacoes e Empreendimentos SA;Serviços Comerciais;https://s3-symbol-logo.tradingview.com/gps-on-nm--big.svg
GMAT3;Grupo Mateus SA;Comércio de Varejo;https://s3-symbol-logo.tradingview.com/grupo-mateuson-nm--big.svg
GOAU3;Metalurgica Gerdau S.A.;Minerais Não-Energéticos;https://s3-symbol-logo.tradingview.com/gerdau--big.svg
GOAU4;Metalurgica Gerdau SA Pfd;Minerais Não-Energéticos;https://s3-symbol-logo.tradingview.com/gerdau--big.svg
GPAR3;Cia Celg de Participacoes - CELGPAR;Serviços Públicos;https://s3-symbol-logo.tradingview.com/celgpar-on--big.svg
GRAO3;Humberg Agribrasil Comercio e Exportacao de Graos SA;Serviços de Distribuição;https://s3-symbol-logo.tradingview.com/country/BR--big.svg
GRND3;Grendene S.A.;Consumo de Não Duráveis;https://s3-symbol-logo.tradingview.com/grendene--big.svg
GSHP3;General Shopping e Outlets do Brasil S.A.;Financeiro;https://s3-symbol-logo.tradingview.com/generalshoppon--big.svg
GUAR3;Guararapes Confeccoes S.A.;Serviços de Distribuição;https://s3-symbol-logo.tradingview.com/guararapes--big.svg
HAGA3;Haga SA Industria e Comercio;Consumo Duráveis;https://s3-symbol-logo.tradingview.com/haga-s-a-on--big.svg
HAGA4;Haga SA Industria e Comercio Pfd;Consumo Duráveis;https://s3-symbol-logo.tradingview.com/haga-s-a-on--big.svg
HAPV3;Hapvida Participacoes e Investimentos SA;Serviços de Saúde;https://s3-symbol-logo.tradingview.com/hapvida--big.svg
HBOR3;Helbor Empreendimentos S.A.;Consumo Duráveis;https://s3-symbol-logo.tradingview.com/helbor--big.svg
HBRE3;HBR Realty Empreendimentos Imobiliarios SA;Financeiro;https://s3-symbol-logo.tradingview.com/hbr-realty-on-nm--big.svg
HBSA3;Hidrovias do Brasil SA;Transportes;https://s3-symbol-logo.tradingview.com/hidrovias-on-nm--big.svg
HBTS3;Cia Habitasul de Participacoes;Financeiro;https://s3-symbol-logo.tradingview.com/habitasul-pna--big.svg
HBTS5;Cia Habitasul de Participacoes Pfd A;Financeiro;https://s3-symbol-logo.tradingview.com/habitasul-pna--big.svg
HBTS6;Cia Habitasul de Participacoes Pfd B;Financeiro;https://s3-symbol-logo.tradingview.com/habitasul-pna--big.svg
HETA3;Hercules S.A. Fabrica De Talheres;Consumo Duráveis;https://s3-symbol-logo.tradingview.com/hercules-pn--big.svg
HETA4;Hercules SA Fabrica de Talheres Pfd;Consumo Duráveis;https://s3-symbol-logo.tradingview.com/hercules-pn--big.svg
HOOT3;Hoteis Othon SA;Consumo de Serviços;https://s3-symbol-logo.tradingview.com/hoteis-othonpn--big.svg
HOOT4;Hoteis Othon SA Pfd;Consumo de Serviços;https://s3-symbol-logo.tradingview.com/hoteis-othonpn--big.svg
HYPE3;Hypera S.A.;Tecnologia em Saúde;https://s3-symbol-logo.tradingview.com/hypera--big.svg
