TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
MRVE3;7,86;;-3,09;0,86;0,16;27,82;-3,61;-14,61;-12,49;-33,75;-21,26;1,46;0,45;0,74;-0,35;1,68;-27,79;-5,23;-4,38;0,19;0,78;0,36;8,27;;51.813.112,14;9,16;-2,55;-0,02;4.423.817.634,06
MSPA3;46,00;;-25,87;0,36;0,20;38,28;14,59;-6,59;11,68;17,68;6,18;0,19;1,70;16,94;-0,22;1,15;-1,38;-0,78;1,16;0,57;0,43;0,12;6,03;;4.625,00;128,69;-1,78;0,05;289.986.630,00
MSPA4;40,00;;-22,50;0,31;0,18;38,28;14,59;-6,59;10,15;17,68;6,18;0,19;1,48;14,73;-0,19;1,15;-1,38;-0,78;1,16;0,57;0,43;0,12;6,03;;4.000,00;128,69;-1,78;0,05;289.986.630,00
MSRO3;702,50;;-2.447,02;287,59;68,00;34,77;15,92;-6,69;1.028,65;1.037,06;8,41;2,35;163,79;-591,86;-92,12;0,70;-11,75;-2,78;5,55;0,24;0,76;0,42;6,40;;;2,44;-0,29;4,91;18.271.898.550,00
MTIG3;0,00;;0,00;0,00;0,00;-16,12;-64,07;-113,09;0,00;-1,28;-1,17;;0,00;0,00;0,00;0,27;-725,28;-74,53;-104,33;-0,10;1,10;0,66;-17,44;;;-0,06;-0,46;0,00;3.700.608,00
MTIG4;23,00;;-49,52;-359,15;36,91;-16,12;-64,07;-113,09;-87,41;-1,28;-1,17;;56,00;-50,93;-50,15;0,27;-725,28;-74,53;-104,33;-0,10;1,10;0,66;-17,44;;;-0,06;-0,46;-0,09;3.700.608,00
MTRE3;3,91;13,06;7,20;0,42;0,18;25,24;8,14;5,04;4,46;9,68;5,22;0,49;0,36;0,38;-0,98;2,35;5,79;2,49;3,91;0,43;0,55;0,49;30,48;12,44;2.104.515,95;9,38;0,54;0,07;413.579.546,20
MTSA3;75,49;3,18;15,48;1,41;1,14;24,19;7,82;7,90;15,63;8,57;-3,40;-0,31;1,22;1,91;-4,98;4,51;9,13;7,39;1,92;0,81;0,19;0,94;11,91;18,95;7.600,00;53,43;4,88;-0,91;508.461.181,70
MTSA4;41,61;6,34;8,53;0,78;0,63;24,19;7,82;7,90;8,62;8,57;-3,40;-0,31;0,67;1,05;-2,74;4,51;9,13;7,39;1,92;0,81;0,19;0,94;11,91;18,95;287.195,43;53,43;4,88;-0,50;508.461.181,70
MULT3;28,90;3,86;11,49;2,51;1,20;81,08;66,12;47,77;8,30;10,76;2,45;0,74;5,49;34,83;-1,41;1,31;21,85;10,48;14,52;0,48;0,52;0,22;14,28;22,33;71.711.469,71;11,51;2,51;0,73;14.830.430.958,90
MWET3;13,00;;3,72;2,34;0,09;6,79;19,86;2,84;0,53;2,33;1,87;8,25;0,11;-0,66;-0,14;0,75;62,95;2,29;34,56;0,04;0,96;0,81;9,33;;1.300,00;5,55;3,50;-0,03;22.912.433,40
MWET4;10,20;;2,92;1,84;0,07;6,79;19,86;2,84;0,42;2,33;1,87;8,25;0,08;-0,52;-0,11;0,75;62,95;2,29;34,56;0,04;0,96;0,81;9,33;;11.275,92;5,55;3,50;-0,02;22.912.433,40
MYPK3;12,75;4,58;7,12;0,45;0,13;12,17;6,76;1,73;1,82;5,45;3,63;0,91;0,12;0,70;-0,25;1,68;6,37;1,84;8,46;0,29;0,68;1,07;8,89;-3,99;8.853.415,81;28,09;1,79;0,03;1.959.924.912,75
NAFG3;64,37;;11,80;2,76;1,15;41,15;16,49;9,34;6,68;5,06;1,17;0,48;1,10;3,20;-2,87;2,52;23,42;9,77;15,89;0,42;0,58;1,05;7,87;35,19;;23,30;5,46;-1,14;508.315.292,42
NAFG4;19,02;;3,49;0,82;0,34;41,15;16,49;9,34;1,97;5,06;1,17;0,48;0,33;0,94;-0,85;2,52;23,42;9,77;15,89;0,42;0,58;1,05;7,87;35,19;;23,30;5,46;-0,34;508.315.292,42
NATU3;9,86;;20,16;1,43;0,67;66,69;5,04;2,98;11,92;12,07;0,15;0,02;0,60;1,97;-2,08;2,03;7,11;3,35;4,05;0,47;0,53;1,12;;;142.205.486,24;6,88;0,49;-0,22;13.553.138.498,02
NEMO3;0,00;;0,00;0,00;0,00;37,73;26,61;4,43;0,00;5,22;5,22;5,52;0,00;0,00;0,00;3,17;17,64;1,43;7,72;0,08;0,73;0,32;12,75;;;18,64;3,29;0,00;0,00
NEMO4;0,00;;0,00;0,00;0,00;37,73;26,61;4,43;0,00;5,22;5,22;5,52;0,00;0,00;0,00;3,17;17,64;1,43;7,72;0,08;0,73;0,32;12,75;;;18,64;3,29;0,00;0,00
NEMO5;52,97;;16,11;2,84;0,23;37,73;26,61;4,43;2,68;5,22;5,22;5,52;0,71;1,34;-0,31;3,17;17,64;1,43;7,72;0,08;0,73;0,32;12,75;;;18,64;3,29;0,00;0,00
NEMO6;0,00;;0,00;0,00;0,00;37,73;26,61;4,43;0,00;5,22;5,22;5,52;0,00;0,00;0,00;3,17;17,64;1,43;7,72;0,08;0,73;0,32;12,75;;;18,64;3,29;0,00;0,00
NEOE3;28,65;2,89;8,04;0,99;0,31;26,70;19,64;8,48;3,47;7,96;4,49;1,28;0,68;11,39;-0,39;1,17;12,28;3,90;11,36;0,32;0,68;0,46;11,47;14,17;46.892.499,90;29,02;3,56;-2,66;34.775.291.155,20
NEXP3;3,45;;0,11;-0,17;0,31;45,17;91,83;70,38;0,08;0,04;-0,04;;0,08;-0,36;-0,66;0,39;-155,40;284,68;-197,02;-1,83;2,82;4,04;-3,43;;2.111,75;-20,51;31,88;0,00;9.161.713,05
NGRD3;26,15;;-7,79;0,54;0,40;58,13;-15,24;-11,11;-5,68;-2,98;2,69;-0,26;0,87;1,99;-0,63;2,28;-6,95;-5,16;-9,86;0,74;0,26;0,46;5,77;;97.439,86;48,27;-3,36;-0,02;239.035.685,60
NORD3;5,33;;0,93;-0,28;1,81;90,53;1.236,98;1.455,20;1,09;2,31;1,22;;13,54;-0,28;-1,98;0,01;-29,93;194,45;-25,85;-6,50;7,50;0,13;13,33;;642,83;-19,14;5,73;0,00;35.292.520,38
NRTQ3;0,00;;0,00;0,00;0,00;27,60;9,33;3,53;0,00;3,18;3,18;0,29;0,00;0,00;0,00;4,62;3,50;2,19;4,71;0,62;0,38;0,62;7,47;-12,02;;20,02;0,70;0,00;0,00
NTCO3;11,05;;-2,14;1,01;0,44;66,36;6,37;-33,04;11,11;14,05;2,94;0,27;0,71;1,99;-0,95;1,68;-47,14;-20,34;5,69;0,43;0,57;0,62;10,77;;76.344.659,00;10,94;-5,16;0,01;15.188.862.109,85
NUTR3;2,87;;6,68;0,88;0,28;14,65;6,37;2,47;2,60;3,25;0,66;0,22;0,17;1,14;-1,05;1,50;13,15;4,16;18,50;0,32;0,68;1,68;25,86;-30,25;8.344,67;3,27;0,43;-1,26;38.011.428,00
ODER3;0,00;;0,00;0,00;0,00;29,63;10,68;5,68;0,00;;2,76;0,42;0,00;0,00;0,00;3,69;8,01;4,03;4,57;0,50;0,50;0,71;11,90;16,73;;49,58;3,97;0,00;
ODER4;97,78;0,36;24,61;1,97;0,99;29,63;10,68;5,68;13,10;;2,76;0,42;1,40;1,94;-3,30;3,69;8,01;4,03;4,57;0,50;0,50;0,71;11,90;16,73;0,00;49,58;3,97;-0,93;
ODPV3;13,17;7,35;12,40;5,57;3,39;37,20;32,49;24,70;9,42;8,93;-0,49;-0,29;3,06;-36,96;-4,45;0,72;44,90;27,38;25,70;0,61;0,39;1,11;4,75;15,29;14.834.307,62;2,37;1,06;1,20;7.188.519.016,62
OFSA3;23,01;3,16;9,49;1,89;0,93;51,27;80,12;12,14;1,44;1,74;0,30;0,39;1,15;2,23;-2,51;3,01;19,90;9,86;77,13;0,50;0,50;0,81;10,59;23,11;139.992,43;12,19;2,43;0,07;1.241.366.628,06
OGXP3;1,63;;-2,15;-0,98;0,92;;;;-9,26;-9,26;0,00;;;-0,98;;0,51;-45,53;-43,02;10,57;-0,94;1,94;0,00;;;;-1,67;-0,76;0,02;52.747.073,84
