"Ticker","Nome","Negócios","Última (R$)","Variação"
"SRNA3","Serena Energia","2.090.900","12,26","+0,08%"
"BRAP4","Bradespar","2.031.200","17,07","+0,53%"
"GRND3","Grendene","2.015.500","5,29","+1,93%"
"QUAL3","Qualicorp","1.988.900","2,14","+1,42%"
"PSSA3","Porto Seguro","1.966.700","50,90","+0,67%"
"DASA3","Dasa","1.904.900","1,36","-2,16%"
"ISAE4","ISA Energia","1.872.400","23,78","+1,45%"
"JALL3","Jalles Machado","1.773.800","2,88","+0,00%"
"PGMN3","Pague Menos","1.766.100","3,65","+2,24%"
"RECV3","PetroRecôncavo","1.742.200","13,32","+1,22%"
"MLAS3","Multilaser","1.734.500","1,08","+2,86%"
"AZZA3","Arezzo","1.726.900","33,79","+1,14%"
"TEND3","Construtora Tenda","1.724.900","27,20","+1,95%"
"SLCE3","SLC Agrícola","1.718.900","17,01","+0,00%"
"NEOE3","Neoenergia","1.635.000","28,75","+0,67%"
"AZEV3","Azevedo & Travassos","1.621.900","0,46","+0,00%"
"SAPR11","Sanepar","1.621.200","36,52","-0,65%"
"AZEV4","Azevedo & Travassos","1.581.500","0,48","-2,04%"
"HBSA3","Hidrovias do Brasil","1.568.900","3,38","+2,42%"
"IFCM3","Infracommerce","1.552.500","0,25","+0,00%"
"ARML3","Armac","1.513.600","3,96","+2,59%"
"TAEE11","Taesa","1.505.900","35,54","+0,71%"
"SEQL3","Sequoia Logística","1.483.800","1,41","-5,37%"
"CSED3","Cruzeiro do Sul Educacional","1.380.700","5,15","+2,79%"
"POSI3","Positivo","1.326.700","4,58","+4,09%"
"CPFE3","CPFL Energia","1.222.500","38,89","+1,01%"
"ALPA4","Alpargatas","1.221.700","10,04","+0,00%"
"BRSR6","Banrisul","1.215.600","11,89","+1,36%"
"RCSL4","Recrusul","1.201.300","1,09","-1,80%"
"MDNE3","Moura Dubeux","1.196.100","27,60","+1,21%"
"OIBR3","Oi","1.193.700","0,55","+0,00%"
"CAML3","Camil Alimentos","1.184.500","5,32","+3,50%"
"LIGT3","Light","1.134.700","5,90","-1,34%"
"ENJU3","Enjoei","1.043.800","0,95","+0,00%"
"GGPS3","GPS","1.024.700","18,25","+0,83%"
"PLPL3","Plano&Plano","1.006.300","18,00","+1,87%"
"VVEO3","Viveo","964.000","1,09","+6,86%"
"VULC3","Vulcabras","923.200","20,18","+0,25%"
"HBOR3","Helbor","908.700","3,59","-0,28%"
"OPCT3","OceanPact","896.700","7,82","+3,44%"
"BPAN4","Banco Pan","885.000","7,96","-0,50%"
"SHUL4","Schulz","867.200","4,82","+2,55%"
"MILS3","Mills","836.100","11,96","-0,17%"
"GFSA3","Gafisa","831.400","12,12","+2,62%"
"EGIE3","Engie","821.500","40,78","+0,79%"
"KEPL3","Kepler Weber","811.600","7,87","+1,29%"
"HBRE3","HBR Realty","795.800","4,75","-2,06%"
"GUAR3","Guararapes","775.500","10,07","-1,27%"
"SEER3","Ser Educacional","767.700","10,87","+0,65%"
"RANI3","Irani","764.200","8,33","-0,60%"
"FESA4","Ferbasa","753.300","6,72","+2,60%"
"SAPR4","Sanepar","752.300","7,14","-0,56%"
"PFRM3","Profarma","735.800","6,94","-7,22%"
"MTRE3","Mitre Realty","700.700","3,94","+1,29%"
"EVEN3","Even","698.400","8,18","+3,15%"
"ITUB3","Itaú Unibanco","684.300","34,35","+2,17%"
"USIM3","Usiminas","662.900","4,60","+0,22%"
"POMO3","Marcopolo","614.900","8,23","+2,24%"
"KLBN3","Klabin","592.300","3,73","+0,54%"
"TUPY3","Tupy","589.400","14,81","+1,09%"
"TTEN3","3tentos","587.500","14,58","+0,41%"
"PNVL3","Dimed","583.000","9,78","+1,24%"
"PMAM3","Paranapanema","577.000","1,70","+3,03%"
"IRBR3","IRB Brasil RE","550.000","48,04","+1,97%"
"PINE4","Banco Pine","550.000","8,20","+4,46%"
"AMBP3","Ambipar","546.600","14,01","+5,10%"
"PRNR3","Priner","528.400","16,65","+1,83%"
"ORVR3","Orizon","506.400","57,46","+1,59%"
"ABCB4","Banco ABC Brasil","499.300","23,23","+2,11%"
"LAVV3","Lavvi Incorporadora","498.400","15,47","+1,05%"
