TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO;Ticker;Nome;STOCK;DEPARTMENT;IMAGE;isFinancial
UNIP5;72,00;8,95;10,24;2,90;1,08;29,43;18,38;14,07;7,84;8,44;1,02;0,38;1,44;4,00;-1,83;2,96;28,31;10,55;11,18;0,37;0,62;0,75;12,24;35,60;21.726,50;24,83;7,03;0,17;7.720.569.041,95;UNIP5;Unipar;UNIP5;Industrias de Processamento;https://s3-symbol-logo.tradingview.com/unipar--big.svg;False
UNIP6;72,05;12,13;10,25;2,90;1,08;29,43;18,38;14,07;7,84;8,44;1,02;0,38;1,44;4,01;-1,83;2,96;28,31;10,55;11,18;0,37;0,62;0,75;12,24;35,60;11.246.639,17;24,83;7,03;0,17;7.720.569.041,95;UNIP6;Unipar;UNIP6;Industrias de Processamento;https://s3-symbol-logo.tradingview.com/unipar--big.svg;False
USIM3;4,35;;14,49;0,22;0,13;8,21;3,61;1,40;5,63;6,60;0,96;0,04;0,20;0,40;-0,24;4,16;1,55;0,93;2,18;0,60;0,33;0,66;11,59;12,02;2.688.539,52;19,37;0,30;-1,10;5.461.850.488,28;USIM3;Usiminas;USIM3;Minerais Não-Energéticos;https://s3-symbol-logo.tradingview.com/usiminas-pna-n1--big.svg;False
USIM5;4,37;;14,56;0,23;0,13;8,21;3,61;1,40;5,66;6,60;0,96;0,04;0,20;0,40;-0,24;4,16;1,55;0,93;2,18;0,60;0,33;0,66;11,59;12,02;38.262.748,09;19,37;0,30;-1,10;5.461.850.488,28;USIM5;Usiminas;USIM5;Minerais Não-Energéticos;https://s3-symbol-logo.tradingview.com/usiminas-pna-n1--big.svg;False
USIM6;8,00;;26,65;0,41;0,25;8,21;3,61;1,40;10,35;6,60;0,96;0,04;0,37;0,73;-0,44;4,16;1,55;0,93;2,18;0,60;0,33;0,66;11,59;12,02;800,00;19,37;0,30;-2,02;5.461.850.488,28;;;USIM6;Minerais Não-Energéticos;https://s3-symbol-logo.tradingview.com/usiminas-pna-n1--big.svg;False
VALE3;58,26;7,82;9,13;1,23;0,54;34,24;20,82;13,81;6,06;7,58;1,52;0,31;1,26;15,55;-0,67;1,22;13,52;5,87;10,13;0,43;0,55;0,42;7,33;;709.492.216,70;47,19;6,38;-0,23;264.442.581.610,80;VALE3;Vale;VALE3;Minerais Não-Energéticos;https://s3-symbol-logo.tradingview.com/vale--big.svg;False
VAMO3;3,31;8,10;13,88;1,37;0,16;73,73;68,79;6,72;1,36;6,07;4,71;4,77;0,93;1,37;-0,22;1,80;9,90;1,15;12,07;0,12;0,88;0,17;31,14;12,69;45.626.066,39;2,41;0,24;-0,23;3.578.217.697,47;VAMO3;Grupo Vamos;VAMO3;Financeiro;https://s3-symbol-logo.tradingview.com/vamos-on-nm--big.svg;False
VBBR3;24,18;4,47;4,81;1,30;0,45;4,61;4,72;3,11;3,17;5,63;2,46;1,01;0,15;2,16;-0,76;2,09;26,99;9,43;9,75;0,35;0,65;3,03;12,65;20,54;175.045.393,26;18,63;5,03;-0,51;27.057.420.000,00;VBBR3;Vibra Energia;VBBR3;Comércio de Varejo;https://s3-symbol-logo.tradingview.com/vibra-on-nm--big.svg;False
VITT3;4,86;6,77;10,82;1,21;0,80;32,49;10,41;8,42;8,75;10,51;1,77;0,25;0,91;2,22;-1,92;2,63;11,22;7,41;7,84;0,66;0,34;0,88;12,74;4,26;539.917,87;4,00;0,45;-0,60;730.526.127,48;VITT3;Vittia;VITT3;Industrias de Processamento;https://s3-symbol-logo.tradingview.com/vittia-on-ed-nm--big.svg;False
VIVA3;29,03;2,27;10,19;2,48;1,60;71,05;25,17;24,25;9,82;10,23;0,42;0,11;2,47;3,35;-4,34;4,13;24,35;15,70;19,35;0,64;0,36;0,65;28,01;21,13;58.063.938,09;11,70;2,85;0,23;6.856.821.234,07;VIVA3;Vivara;VIVA3;Consumo Duráveis;https://s3-symbol-logo.tradingview.com/vivara-sa-on-nm--big.svg;False
VIVR3;0,95;;-1,21;0,41;0,15;29,87;-22,53;-26,99;-1,45;-1,57;-0,12;0,03;0,33;1,69;-0,27;1,24;-33,55;-12,17;-22,33;0,36;0,61;0,45;;;185.387,57;2,34;-0,79;0,02;36.447.777,90;VIVR3;Viver;VIVR3;Consumo Duráveis;https://s3-symbol-logo.tradingview.com/viver-on-nm--big.svg;False
VIVT3;33,80;3,38;18,70;1,60;0,86;44,00;15,53;10,12;12,18;13,40;1,21;0,16;1,89;-233,64;-1,09;0,98;8,57;4,61;8,29;0,54;0,46;0,46;4,76;3,13;99.658.678,00;21,10;1,81;1,51;109.057.275.823,60;VIVT3;Vivo;VIVT3;Comunicações;https://s3-symbol-logo.tradingview.com/telefonica--big.svg;False
VIVT4;45,34;;25,08;2,15;1,16;44,00;15,53;10,12;16,34;13,40;1,21;0,16;2,54;-313,41;-1,46;0,98;8,57;4,61;8,29;0,54;0,46;0,46;4,76;3,13;;21,10;1,81;2,02;109.057.275.823,60;;;;;;False
VLID3;21,10;10,74;6,15;0,99;0,60;34,03;15,64;13,01;5,11;5,29;0,18;0,03;0,80;1,82;-1,19;3,04;16,12;9,81;14,19;0,61;0,39;0,75;1,58;38,92;3.517.289,70;21,29;3,43;-0,46;1.726.747.512,50;VLID3;Valid;VLID3;Serviços Comerciais;https://s3-symbol-logo.tradingview.com/valid--big.svg;False
VSPT3;5,00;;6,51;0,49;0,27;19,76;12,09;7,29;3,93;3,37;-0,56;-0,07;0,47;-4,95;-0,31;0,71;7,57;4,16;12,19;0,55;0,45;0,57;10,07;;0,00;10,15;0,77;-0,04;1.780.029.215,00;;;VSPT3;Transportes;https://s3-symbol-logo.tradingview.com/country/BR--big.svg;False
VSPT4;0,00;;0,00;0,00;0,00;19,76;12,09;7,29;0,00;3,37;-0,56;-0,07;0,00;0,00;0,00;0,71;7,57;4,16;12,19;0,55;0,45;0,57;10,07;;;10,15;0,77;0,00;1.780.029.215,00;;;VSPT4;Transportes;https://s3-symbol-logo.tradingview.com/country/BR--big.svg;False
VSTE3;5,24;;1.136,83;0,57;0,36;63,15;4,84;0,05;10,68;16,24;5,56;0,30;0,52;4,19;-0,52;1,38;0,05;0,03;4,03;0,62;0,38;0,69;3,10;;45.978,57;9,15;0,00;-11,92;599.109.337,32;VSTE3;LE LIS BLANC;VSTE3;Consumo de Não Duráveis;https://s3-symbol-logo.tradingview.com/le-lis-blanc--big.svg;False
VTRU3;11,70;0,20;-5,81;1,72;1,40;22,04;-7,31;-14,81;-11,77;-8,09;3,68;-0,54;0,86;3,32;-3,05;4,48;-29,57;-24,02;-29,52;0,81;0,19;1,62;;;3.115.641,30;6,81;-2,01;;443.266.866,90;VTRU3;VITRUBREPCOM;VTRU3;Serviços Comerciais;https://s3-symbol-logo.tradingview.com/vitru-brasil-empreendimentos-partic-spon-ads-each-rep-one-ord-shs--big.svg;False
VULC3;19,85;13,12;6,83;2,32;1,63;41,45;21,52;24,37;7,73;7,94;0,20;0,06;1,66;3,71;-5,14;2,82;33,99;23,91;24,35;0,70;0,30;0,98;17,52;41,12;18.213.507,39;8,55;2,91;0,11;5.469.394.443,40;VULC3;Vulcabras;VULC3;Consumo de Não Duráveis;https://s3-symbol-logo.tradingview.com/vulcabras--big.svg;False
VVEO3;1,27;;-0,28;0,23;0,04;11,47;-7,06;-12,74;-0,51;-4,03;-3,52;1,60;0,04;0,20;-0,09;1,74;-81,75;-15,87;-16,92;0,19;0,81;1,25;30,99;;1.600.848,04;5,54;-4,53;0,00;409.982.172,16;VVEO3;Viveo;VVEO3;Serviços de Distribuição;https://s3-symbol-logo.tradingview.com/viveo-on-nm--big.svg;False
WEGE3;35,88;2,34;23,49;6,78;3,78;33,61;19,82;15,65;18,54;18,16;-0,38;-0,14;3,68;13,64;-10,36;1,77;28,86;16,09;25,60;0,56;0,42;1,03;23,27;31,76;219.757.398,74;5,29;1,53;2,34;150.599.769.768,24;WEGE3;WEG;WEGE3;Produtor Manufatureiro;https://s3-symbol-logo.tradingview.com/weg--big.svg;False
WEST3;4,91;;-3,89;0,25;0,19;39,61;-17,88;-9,13;-1,99;1,63;3,62;-0,45;0,36;0,48;-0,44;3,00;-6,41;-4,76;-13,03;0,74;0,26;0,52;5,08;;119.142,09;19,70;-1,26;0,05;54.546.898,68;WEST3;Westwing;WEST3;Comércio de Varejo;https://s3-symbol-logo.tradingview.com/westwing-on-nm--big.svg;False
WHRL3;4,54;13,21;7,30;3,06;0,68;18,21;7,83;7,11;6,63;6,13;-0,54;-0,25;0,52;-41,86;-2,12;0,98;41,96;9,37;18,77;0,22;0,78;1,32;10,80;-12,04;20.466,48;1,48;0,62;0,04;6.874.797.829,78;WHRL3;Whirlpool;WHRL3;Consumo Duráveis;https://s3-symbol-logo.tradingview.com/whirlpool-on--big.svg;False
WHRL4;4,65;14,18;7,48;3,14;0,70;18,21;7,83;7,11;6,79;6,13;-0,54;-0,25;0,53;-42,87;-2,17;0,98;41,96;9,37;18,77;0,22;0,78;1,32;10,80;-12,04;68.634,61;1,48;0,62;0,04;6.874.797.829,78;WHRL4;Whirlpool;WHRL4;Consumo Duráveis;https://s3-symbol-logo.tradingview.com/whirlpool-on--big.svg;False
WIZC3;8,51;2,94;7,36;2,12;0,56;61,85;44,23;13,63;2,27;2,43;0,16;0,15;1,00;-34,00;-0,72;0,93;28,76;7,56;24,12;0,26;0,48;0,55;13,02;-2,88;2.664.692,09;4,02;1,16;1,19;1.360.810.969,82;WIZC3;Wiz Soluções;WIZC3;Financeiro;https://s3-symbol-logo.tradingview.com/wiz-s-a--big.svg;True
WLMM3;22,99;3,12;7,37;1,04;0,56;12,90;6,56;3,83;4,30;5,86;1,83;0,44;0,28;2,02;-1,34;1,91;14,11;7,61;8,24;0,54;0,46;1,99;23,58;17,94;3.019,00;22,11;3,12;-0,48;783.595.948,30;WLMM3;WLM;WLMM3;Serviços de Distribuição;https://s3-symbol-logo.tradingview.com/wlm-ind-com-pn--big.svg;False
WLMM4;20,29;3,88;6,50;0,92;0,50;12,90;6,56;3,83;3,80;5,86;1,83;0,44;0,25;1,79;-1,18;1,91;14,11;7,61;8,24;0,54;0,46;1,99;23,58;17,94;59.079,48;22,11;3,12;-0,42;783.595.948,30;WLMM4;WLM;WLMM4;Serviços de Distribuição;https://s3-symbol-logo.tradingview.com/wlm-ind-com-pn--big.svg;False
YDUQ3;12,73;4,48;11,68;1,15;0,37;61,02;16,26;5,49;3,95;9,03;5,08;1,48;0,64;7,01;-0,48;1,28;9,82;3,13;9,88;0,32;0,68;0,57;8,46;-14,30;38.370.444,83;11,10;1,09;0,11;3.489.151.073,23;YDUQ3;YDUQS;YDUQ3;Serviços Comerciais;https://s3-symbol-logo.tradingview.com/yduqs-part-on-nm--big.svg;False
ZAMP3;3,51;;-7,56;0,97;0,34;64,76;-0,15;-3,89;-197,83;-317,14;-119,31;0,59;0,29;-10,70;-0,43;0,87;-12,84;-4,46;-2,75;0,35;0,65;1,15;9,70;;1.609.887,09;3,62;-0,46;-0,08;1.428.339.726,45;ZAMP3;Zamp;ZAMP3;Consumo de Serviços;https://s3-symbol-logo.tradingview.com/burger-king--big.svg;False
