TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO;Ticker;Nome;Última (R$);Variação;STOCK;DEPARTMENT;IMAGE;isFinancial
RAIZ4;1,17;;-1,69;0,67;0,09;4,48;0,68;-2,84;7,05;34,24;27,19;2,57;0,05;0,80;-0,15;1,33;-39,36;-5,07;1,45;0,13;0,87;1,79;20,39;;41.116.276,95;1,76;-0,69;0,00;12.112.436.096,28;RAIZ4;Raízen;1,34;+2,29%;RAIZ4;Comércio de Varejo;https://s3-symbol-logo.tradingview.com/raizen--big.svg;False
RANI3;8,32;8,77;5,16;1,40;0,53;41,62;24,87;22,92;4,75;7,51;2,75;0,81;1,18;2,38;-0,79;3,08;27,20;10,26;11,64;0,38;0,62;0,45;12,61;;4.649.402,27;5,93;1,61;0,03;1.995.384.926,08;RANI3;Irani;8,33;-0,60%;RANI3;Industrias de Processamento;https://s3-symbol-logo.tradingview.com/celul-irani--big.svg;False
RANI4;5,50;;3,41;0,93;0,35;41,62;24,87;22,92;3,14;7,51;2,75;0,81;0,78;1,57;-0,52;3,08;27,20;10,26;11,64;0,38;0,62;0,45;12,61;;;5,93;1,61;0,02;1.995.384.926,08;;;;;;;;False
RAPT3;6,30;4,08;11,18;0,72;0,13;25,85;9,11;1,53;1,88;8,06;6,17;2,37;0,17;0,47;-0,26;2,04;6,45;1,13;8,16;0,18;0,75;0,74;18,53;-4,46;134.387,95;8,74;0,56;-0,30;2.214.459.563,95;RAPT3;Randon;6,43;-0,92%;RAPT3;Produtor Manufatureiro;https://s3-symbol-logo.tradingview.com/randon--big.svg;False
RAPT4;6,35;4,03;11,27;0,73;0,13;25,85;9,11;1,53;1,89;8,06;6,17;2,37;0,17;0,48;-0,27;2,04;6,45;1,13;8,16;0,18;0,75;0,74;18,53;-4,46;17.054.782,41;8,74;0,56;-0,31;2.214.459.563,95;RAPT4;Randon;6,84;+2,55%;RAPT4;Produtor Manufatureiro;https://s3-symbol-logo.tradingview.com/randon--big.svg;False
RCSL3;1,74;;-2,60;-2,34;1,33;3,23;-281,41;-347,79;-3,21;-2,37;0,00;;9,04;-7,00;-2,00;0,64;-90,07;-51,12;72,86;-0,57;1,57;0,15;1,25;;229.567,64;-0,74;-0,67;-0,02;40.771.483,14;RCSL3;Recrusul;1,81;-0,55%;RCSL3;Produtor Manufatureiro;https://s3-symbol-logo.tradingview.com/recrusul--big.svg;False
RCSL4;1,05;;-1,57;-1,41;0,80;3,23;-281,41;-347,79;-1,94;-2,37;0,00;;5,46;-4,22;-1,20;0,64;-90,07;-51,12;72,86;-0,57;1,57;0,15;1,25;;2.531.265,32;-0,74;-0,67;-0,01;40.771.483,14;RCSL4;Recrusul;1,09;-1,80%;RCSL4;Produtor Manufatureiro;https://s3-symbol-logo.tradingview.com/recrusul--big.svg;False
RDNI3;2,30;;-0,72;0,52;0,08;16,57;-17,77;-33,02;-1,34;-7,97;-6,62;2,55;0,24;0,40;-0,15;1,63;-71,56;-10,43;-11,48;0,15;0,84;0,32;11,10;;19.664,09;4,45;-3,18;0,02;100.670.558,40;RDNI3;RNI;2,31;+5,96%;RDNI3;Financeiro;https://s3-symbol-logo.tradingview.com/rni-on-nm--big.svg;False
RDOR3;41,93;2,31;23,34;3,78;0,91;19,84;15,96;7,79;11,39;11,09;-0,30;-0,10;1,82;2,67;-1,89;2,89;16,22;3,89;11,63;0,24;0,74;0,50;30,58;28,65;161.830.881,32;11,08;1,80;0,85;95.990.038.298,70;RDOR3;Rede D'Or;40,74;+1,09%;RDOR3;Serviços de Saúde;https://s3-symbol-logo.tradingview.com/rede-d-or--big.svg;False
REAG3;2,71;;28,72;1,30;1,22;83,42;-44,59;21,86;-14,07;-3,28;10,80;-1,00;6,28;1,33;-49,99;16,47;4,53;4,25;-10,90;0,94;0,06;0,19;35,82;;43.097,41;2,08;0,09;0,08;382.087.794,26;REAG3;REAG3;2,76;-3,16%;REAG3;Serviços Comerciais;https://s3-symbol-logo.tradingview.com/reaginvest-on-nm--big.svg;False
RECV3;13,17;16,65;5,88;0,87;0,54;34,86;27,31;19,55;4,21;5,49;1,28;0,26;1,15;6,19;-0,64;2,22;14,80;9,12;11,46;0,62;0,38;0,47;57,21;59,48;23.134.198,18;15,12;2,24;0,43;3.865.027.899,42;RECV3;PetroRecôncavo;13,32;+1,22%;RECV3;Minerais Energéticos;https://s3-symbol-logo.tradingview.com/petrorecsa-on-nm--big.svg;False
REDE3;6,35;6,58;9,56;3,07;0,42;25,42;18,21;7,48;3,93;7,91;3,98;3,11;0,72;5,49;-0,57;1,40;32,11;4,40;13,47;0,14;0,80;0,59;9,82;14,52;8.498,86;2,07;0,66;-0,49;13.400.553.424,90;REDE3;Rede Energia;6,34;-0,63%;REDE3;Serviços Públicos;https://s3-symbol-logo.tradingview.com/rede-energiaon--big.svg;False
