TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO;Ticker;Nome;Última (R$);Variação;STOCK;DEPARTMENT;IMAGE;isFinancial
SHOW3;6,09;;-0,79;0,32;0,10;26,99;-14,63;-34,05;-1,83;-0,34;1,49;-0,26;0,27;1,11;-0,24;1,19;-40,57;-13,04;-13,87;0,32;0,67;0,38;-15,90;;395.130,59;19,08;-7,74;0,00;41.054.285,58;SHOW3;Time For Fun;6,14;-1,92%;SHOW3;Consumo de Serviços;https://s3-symbol-logo.tradingview.com/time-for-fun--big.svg;False
SHUL3;27,31;0,82;36,16;6,45;3,48;25,67;14,04;13,40;34,50;17,90;-0,35;-0,06;4,84;8,06;-9,73;3,04;17,83;9,61;10,75;0,54;0,46;0,72;12,91;22,68;0,00;4,24;0,76;-150,28;5.162.747.162,44;;;;;SHUL3;Produtor Manufatureiro;https://s3-symbol-logo.tradingview.com/schulz--big.svg;False
SHUL4;4,85;7,79;6,42;1,15;0,62;25,67;14,04;13,40;6,13;17,90;-0,35;-0,06;0,86;1,43;-1,73;3,04;17,83;9,61;10,75;0,54;0,46;0,72;12,91;22,68;2.293.746,91;4,24;0,76;-26,69;5.162.747.162,44;SHUL4;Schulz;4,82;+2,55%;SHUL4;Produtor Manufatureiro;https://s3-symbol-logo.tradingview.com/schulz--big.svg;False
SIMH3;5,62;1,25;-12,86;1,46;0,06;25,94;16,44;-0,89;0,70;7,26;6,57;13,73;0,11;0,54;-0,09;1,46;-11,36;-0,45;10,82;0,04;0,92;0,51;33,49;;21.553.904,23;3,85;-0,44;0,64;4.906.487.795,46;SIMH3;Simpar;5,99;+1,53%;SIMH3;Transportes;https://s3-symbol-logo.tradingview.com/jsl--big.svg;True
SLCE3;16,66;3,28;11,03;1,43;0,42;29,16;18,88;7,62;4,45;7,97;3,52;1,13;0,84;2,27;-0,75;1,73;12,93;3,80;11,88;0,29;0,70;0,50;20,74;16,54;29.782.161,68;11,68;1,51;0,60;7.385.873.068,56;SLCE3;SLC Agrícola;17,01;+0,00%;SLCE3;Industrias de Processamento;https://s3-symbol-logo.tradingview.com/slc-agricola--big.svg;False
SLED3;3,21;;0,45;-0,08;0,48;47,85;73,94;92,71;0,56;0,95;0,65;;0,42;-0,20;-0,72;0,12;-18,07;107,04;-15,91;-5,92;6,92;1,15;-45,03;;;-39,57;7,15;-0,02;16.497.692,59;;;;;;;;False
SLED4;1,60;;0,22;-0,04;0,24;47,85;73,94;92,71;0,28;0,95;0,65;;0,21;-0,10;-0,36;0,12;-18,07;107,04;-15,91;-5,92;6,92;1,15;-45,03;;;-39,57;7,15;-0,01;16.497.692,59;;;;;;;;False
SMFT3;26,40;2,43;29,72;2,80;0,85;42,37;23,11;8,25;10,61;12,77;2,17;0,57;2,45;12,72;-1,09;1,45;9,41;2,87;12,05;0,31;0,69;0,35;22,98;;69.012.748,64;9,44;0,89;-0,75;15.767.401.399,20;SMFT3;Smart Fit;26,02;+0,62%;SMFT3;Consumo de Serviços;https://s3-symbol-logo.tradingview.com/smart-fit-on-nm--big.svg;False
SMLS3;22,40;;10,78;4,09;1,02;85,18;41,42;39,07;10,17;9,93;-0,24;-0,10;4,21;18,78;-2,54;1,10;37,96;9,43;20,63;0,25;0,75;0,24;;;;5,47;2,08;-0,33;2.781.160.547,20;;;;;;;;False
SMTO3;17,63;5,15;11,42;0,87;0,27;23,13;19,76;6,96;4,02;9,40;5,38;1,17;0,79;1,58;-0,38;2,43;7,66;2,36;8,17;0,31;0,69;0,34;14,16;-4,29;33.734.468,59;20,15;1,54;-0,18;5.860.835.943,33;SMTO3;São Martinho;17,71;+1,26%;SMTO3;Industrias de Processamento;https://s3-symbol-logo.tradingview.com/sao-martinhoon--big.svg;False
SNSY3;11,00;;-0,45;-0,04;0,15;22,85;12,17;-19,45;0,71;2,24;1,85;;0,09;-0,80;-0,35;0,76;-9,02;-33,26;-6,27;-3,69;4,72;1,71;15,69;;6.600,00;-272,81;-24,61;0,00;46.638.291,20;;;;;SNSY3;Produtor Manufatureiro;https://s3-symbol-logo.tradingview.com/sansuy-on--big.svg;False
SNSY5;3,44;;-0,14;-0,01;0,05;22,85;12,17;-19,45;0,22;2,24;1,85;;0,03;-0,25;-0,11;0,76;-9,02;-33,26;-6,27;-3,69;4,72;1,71;15,69;;4.719,53;-272,81;-24,61;0,00;46.638.291,20;SNSY5;Sansuy;3,48;+0,87%;SNSY5;Produtor Manufatureiro;https://s3-symbol-logo.tradingview.com/sansuy-on--big.svg;False
SNSY6;11,51;;-0,47;-0,04;0,16;22,85;12,17;-19,45;0,75;2,24;1,85;;0,09;-0,84;-0,37;0,76;-9,02;-33,26;-6,27;-3,69;4,72;1,71;15,69;;0,00;-272,81;-24,61;0,00;46.638.291,20;;;;;SNSY6;Produtor Manufatureiro;https://s3-symbol-logo.tradingview.com/sansuy-on--big.svg;False
SOJA3;10,89;2,73;14,55;1,09;0,41;13,35;7,95;5,22;9,55;11,42;1,87;0,21;0,76;0,85;-1,38;3,21;7,48;2,82;4,78;0,38;0,45;0,54;35,41;30,59;3.348.911,95;10,00;0,75;-0,21;1.473.658.148,16;SOJA3;Boa Safra Sementes;10,96;+0,64%;SOJA3;Industrias de Processamento;https://s3-symbol-logo.tradingview.com/boa-safra-on-nm--big.svg;False
SOMA3;5,95;;2,96;0,80;0,49;56,80;-46,46;29,33;-1,87;-2,32;-0,45;0,19;0,87;2,01;-0,84;2,36;27,15;16,44;-47,20;0,61;0,39;0,56;37,72;80,87;99.716.529,00;7,40;2,01;0,01;4.669.246.869,35;;;;;;;;False
SOND3;47,00;12,13;4,43;1,80;0,99;31,30;17,61;12,21;3,07;2,58;-0,93;-0,54;0,54;3,92;-2,35;1,76;40,57;22,25;22,92;0,55;0,45;1,82;25,49;42,82;0,00;26,14;10,61;0,02;131.716.509,00;;;;;SOND3;Serviços Industriais;https://s3-symbol-logo.tradingview.com/sondotecnicapnb--big.svg;False
SOND5;54,98;11,41;5,18;2,10;1,15;31,30;17,61;12,21;3,59;2,58;-0,93;-0,54;0,63;4,58;-2,75;1,76;40,57;22,25;22,92;0,55;0,45;1,82;25,49;42,82;3.864,33;26,14;10,61;0,02;131.716.509,00;SOND5;Sondotécnica;54,98;-8,26%;SOND5;Serviços Industriais;https://s3-symbol-logo.tradingview.com/sondotecnicapnb--big.svg;False
SOND6;57,11;10,98;5,38;2,18;1,20;31,30;17,61;12,21;3,73;2,58;-0,93;-0,54;0,66;4,76;-2,86;1,76;40,57;22,25;22,92;0,55;0,45;1,82;25,49;42,82;7.600,67;26,14;10,61;0,02;131.716.509,00;SOND6;Sondotécnica;57,11;+7,94%;SOND6;Serviços Industriais;https://s3-symbol-logo.tradingview.com/sondotecnicapnb--big.svg;False
SPRT3B;76,40;;-1.707,98;3.026,97;2.817,07;;;;-1.708,97;-1.708,36;0,60;-1,07;;3.026,97;;14,42;-177,23;-164,94;-177,12;0,93;0,07;0,00;;;;0,03;-0,04;-46,02;370.531.748,80;;;;;;;;True
SQIA3;27,37;;-110,33;3,70;1,49;42,19;6,45;-3,26;55,72;60,18;4,46;0,30;3,59;25,87;-1,84;1,43;-3,35;-1,35;2,68;0,40;0,58;0,41;35,51;;;7,40;-0,25;0,62;2.406.971.773,64;;;;;;;;False
SRNA3;12,26;;105,00;1,42;0,38;28,37;24,27;1,37;5,94;14,17;8,23;1,96;1,44;47,25;-0,45;1,06;1,35;0,36;6,85;0,27;0,73;0,26;;;51.351.169,05;8,64;0,12;-1,42;7.634.676.616,56;SRNA3;Serena Energia;12,26;+0,08%;SRNA3;Serviços Públicos;https://s3-symbol-logo.tradingview.com/serena-on-nm--big.svg;False
STBP3;14,39;3,54;15,27;15,51;2,25;57,10;44,73;24,53;8,38;9,80;1,42;2,64;3,75;76,25;-2,81;1,18;101,58;14,75;25,28;0,15;0,85;0,60;24,45;121,20;77.732.196,41;0,93;0,94;0,80;12.435.411.609,91;STBP3;Santos Brasil;14,35;-0,07%;STBP3;Transportes;https://s3-symbol-logo.tradingview.com/santos-brp--big.svg;False
STKF3;0,00;;0,00;0,00;0,00;54,65;36,95;23,68;0,00;3,27;3,27;0,25;0,00;0,00;0,00;3,14;4,97;3,15;4,97;0,63;0,37;0,13;24,60;27,74;;8,19;0,41;0,00;0,00;;;;;;;;False
STTR3;0,00;;0,00;0,00;0,00;31,37;17,25;14,11;0,00;-0,22;-0,22;-0,09;0,00;0,00;0,00;2,46;32,10;17,86;21,15;0,56;0,44;1,27;22,02;;;2,91;0,94;0,00;0,00;;;;;;;;False
SULA11;20,76;;48,73;1,06;0,29;4,25;-3,34;0,83;-12,06;7,41;19,47;-1,71;0,40;0,79;-0,85;2,29;2,17;0,60;-9,49;0,28;0,72;0,73;4,58;-23,56;313.020.093,00;19,64;0,43;-0,88;8.840.533.965,20;;;;;;;;True
SULA3;7,43;;52,32;1,13;0,31;4,25;-3,34;0,83;-12,95;7,41;19,47;-1,71;0,43;0,85;-0,91;2,29;2,17;0,60;-9,49;0,28;0,72;0,73;4,58;-23,56;;6,55;0,14;-0,95;8.840.533.965,20;;;;;;;;True
SULA4;7,63;;53,73;1,17;0,32;4,25;-3,34;0,83;-13,30;7,41;19,47;-1,71;0,44;0,88;-0,93;2,29;2,17;0,60;-9,49;0,28;0,72;0,73;4,58;-23,56;;6,55;0,14;-0,97;8.840.533.965,20;;;;;;;;True
SUZB3;50,15;4,02;8,11;1,47;0,40;37,73;26,63;15,25;4,64;9,86;5,22;1,65;1,24;2,32;-0,53;3,16;18,13;4,91;2,23;0,27;0,73;0,32;12,75;;193.602.943,77;34,12;6,19;0,00;63.395.498.392,25;SUZB3;Suzano;50,90;+0,43%;SUZB3;Industrias de Processamento;https://s3-symbol-logo.tradingview.com/suzano--big.svg;False
SYNE3;5,31;8,64;6,88;0,78;0,29;52,55;51,05;36,56;4,93;3,46;-1,47;-0,23;2,52;1,48;-0,41;3,39;11,34;4,28;4,98;0,38;0,35;0,12;23,59;29,12;9.361.674,55;6,80;0,77;-0,09;810.542.002,95;SYNE3;SYN;6,80;+1,95%;SYNE3;Financeiro;https://s3-symbol-logo.tradingview.com/syn-prop-tecon-nm--big.svg;True
TAEE11;36,09;8,20;6,94;1,63;0,58;61,76;70,51;41,48;4,08;7,17;3,09;1,24;2,88;20,30;-0,68;1,24;23,54;8,33;15,62;0,35;0,65;0,20;15,68;12,33;52.564.926,50;22,10;5,20;0,46;12.432.965.553,63;TAEE11;Taesa;35,54;+0,71%;TAEE11;;https://s3-symbol-logo.tradingview.com/taesa--big.svg;False
TAEE3;11,96;8,25;6,90;1,62;0,57;61,76;70,51;41,48;4,06;7,17;3,09;1,24;2,86;20,18;-0,68;1,24;23,54;8,33;15,62;0,35;0,65;0,20;15,68;12,33;632.630,14;7,37;1,73;0,45;12.432.965.553,63;TAEE3;Taesa;11,72;+0,17%;TAEE3;Serviços Industriais;https://s3-symbol-logo.tradingview.com/taesa--big.svg;False
TAEE4;12,01;8,25;6,93;1,63;0,58;61,76;70,51;41,48;4,07;7,17;3,09;1,24;2,87;20,27;-0,68;1,24;23,54;8,33;15,62;0,35;0,65;0,20;15,68;12,33;1.125.366,27;7,37;1,73;0,46;12.432.965.553,63;TAEE4;Taesa;11,84;+0,59%;TAEE4;Serviços Industriais;https://s3-symbol-logo.tradingview.com/taesa--big.svg;False
TASA3;5,48;3,70;6,45;0,60;0,30;35,63;9,15;7,56;5,32;9,28;4,24;0,48;0,49;1,15;-0,70;1,81;9,29;4,62;5,25;0,50;0,50;0,61;10,85;22,22;98.381,23;9,15;0,85;0,13;722.776.671,24;TASA3;Taurus;5,41;+1,31%;TASA3;Tecnologia Eletrônica;https://s3-symbol-logo.tradingview.com/taurus-armas--big.svg;False
TASA4;5,02;4,04;5,90;0,55;0,27;35,63;9,15;7,56;4,88;9,28;4,24;0,48;0,45;1,05;-0,65;1,81;9,29;4,62;5,25;0,50;0,50;0,61;10,85;22,22;2.258.823,36;9,15;0,85;0,12;722.776.671,24;TASA4;Taurus;4,94;+0,20%;TASA4;Tecnologia Eletrônica;https://s3-symbol-logo.tradingview.com/taurus-armas--big.svg;False
TCNO3;1,20;;-7,52;-8,40;0,03;;;;-6,81;-34,51;-28,98;;;-0,08;-0,04;0,28;-111,63;-0,45;-3,55;0,00;1,00;0,00;;;;-0,14;-0,16;-0,28;6.451.072,50;;;;;;;;False
TCNO4;0,85;;-5,33;-5,95;0,02;;;;-4,82;-34,51;-28,98;;;-0,06;-0,03;0,28;-111,63;-0,45;-3,55;0,00;1,00;0,00;;;;-0,14;-0,16;-0,20;6.451.072,50;;;;;;;;False
TCSA3;1,62;;-0,73;0,37;0,10;-20,85;-40,32;-57,81;-1,05;-5,42;-4,37;1,56;0,42;-0,30;-0,15;0,46;-51,23;-14,26;-13,72;0,28;0,72;0,25;5,16;;94.975,23;4,34;-2,22;-0,02;119.263.152,60;TCSA3;Tecnisa;1,67;+0,00%;TCSA3;Financeiro;https://s3-symbol-logo.tradingview.com/tecnisa--big.svg;False
TECN3;6,72;3,55;6,65;0,99;0,60;54,89;16,25;14,18;5,81;6,23;0,43;0,07;0,94;1,33;-1,79;3,17;14,95;9,08;11,43;0,61;0,39;0,64;4,83;;296.741,64;6,76;1,01;-2,70;415.673.764,80;TECN3;Technos;6,80;+0,59%;TECN3;Consumo Duráveis;https://s3-symbol-logo.tradingview.com/grupotechnos--big.svg;False
TEKA3;42,50;;-0,13;-0,01;0,02;24,58;-4,48;-52,80;-1,47;-43,28;-42,29;;0,07;-0,01;-0,02;0,05;-7,76;-13,93;0,97;-1,80;2,80;0,26;14,82;;0,00;-4.378,29;-339,62;-0,01;14.260.237,50;;;;;;;;False
TEKA4;21,25;;-0,06;0,00;0,01;24,58;-4,48;-52,80;-0,74;-43,28;-42,29;;0,03;0,00;-0,01;0,05;-7,76;-13,93;0,97;-1,80;2,80;0,26;14,82;;0,00;-4.378,29;-339,62;0,00;14.260.237,50;;;;;;;;False
TELB3;11,65;;56,88;0,70;0,26;-38,83;18,85;4,17;12,57;-3,70;-15,78;-0,88;2,37;0,64;-0,52;5,71;1,23;0,46;5,55;0,37;0,63;0,11;15,19;;39.500,64;16,60;0,20;-0,53;1.048.994.160,05;TELB3;Telebras;12,34;+0,00%;TELB3;Comunicações;https://s3-symbol-logo.tradingview.com/telebras-pn--big.svg;False
TELB4;9,40;;45,89;0,57;0,21;-38,83;18,85;4,17;10,14;-3,70;-15,78;-0,88;1,91;0,52;-0,42;5,71;1,23;0,46;5,55;0,37;0,63;0,11;15,19;;69.339,86;16,60;0,20;-0,43;1.048.994.160,05;TELB4;Telebras;8,95;-2,19%;TELB4;Comunicações;https://s3-symbol-logo.tradingview.com/telebras-pn--big.svg;False
TEND3;26,93;2,15;8,53;2,80;0,56;29,38;11,13;10,69;8,19;9,26;1,07;0,36;0,91;1,79;-1,50;2,03;32,79;6,61;15,18;0,20;0,80;0,62;10,99;7,98;40.327.455,50;9,62;3,16;0,00;3.301.029.633,36;TEND3;Construtora Tenda;27,20;+1,95%;TEND3;Financeiro;https://s3-symbol-logo.tradingview.com/tenda--big.svg;False
TESA3;48,00;;-13,30;1,62;0,52;15,86;9,39;-7,58;10,73;17,39;6,66;1,01;1,01;-11,10;-0,74;0,86;-12,18;-3,94;2,59;0,32;0,68;0,52;7,32;;;29,64;-3,61;0,83;1.389.696.672,00;;;;;;;;False
TFCO4;17,44;1,05;122,79;32,18;19,98;57,53;20,74;14,36;85,01;14,45;0,63;0,24;17,63;42,60;-63,21;3,18;26,21;16,27;22,56;0,62;0,38;1,13;30,70;41,69;8.093.628,18;0,54;0,14;7,53;2.672.121.946,16;TFCO4;Track & Field;16,75;+2,32%;TFCO4;Comércio de Varejo;https://s3-symbol-logo.tradingview.com/track-field-pn-n2--big.svg;False
TGMA3;36,69;7,39;8,64;2,44;1,73;21,60;17,46;12,68;6,28;5,89;-0,39;-0,15;1,10;4,81;-3,75;3,03;28,20;20,05;16,96;0,71;0,29;1,58;9,18;7,63;5.552.167,82;15,05;4,24;0,25;2.421.646.951,35;TGMA3;Tegma;37,35;-0,11%;TGMA3;Transportes;https://s3-symbol-logo.tradingview.com/tegma--big.svg;False
TIET11;12,54;;-17,06;0,95;0,24;0,00;21,64;-7,77;6,13;18,71;12,58;1,95;1,33;-6,45;-0,29;0,84;-5,57;-1,40;4,63;0,25;0,75;0,18;4,60;;;13,19;-0,73;0,06;5.004.795.800,93;;;;;;;;False
TIET3;3,49;;-23,75;1,32;0,33;0,00;21,64;-7,77;8,52;18,71;12,58;1,95;1,84;-8,98;-0,41;0,84;-5,57;-1,40;4,63;0,25;0,75;0,18;4,60;;;2,64;-0,15;0,08;5.004.795.800,93;;;;;;;;False
TIET4;3,51;;-23,88;1,33;0,33;0,00;21,64;-7,77;8,57;18,71;12,58;1,95;1,85;-9,03;-0,41;0,84;-5,57;-1,40;4,63;0,25;0,75;0,18;4,60;;;2,64;-0,15;0,08;5.004.795.800,93;;;;;;;;False
TIMS3;23,16;7,16;34,39;3,88;0,98;53,17;22,49;6,26;9,57;8,59;-0,98;-0,40;2,15;-52,08;-1,29;0,93;11,27;2,84;23,61;0,25;0,60;0,45;7,93;-14,76;110.666.324,95;5,97;0,67;-2,35;56.065.829.857,68;TIMS3;TIM;23,09;+1,45%;TIMS3;Comunicações;https://s3-symbol-logo.tradingview.com/tim-participacoes--big.svg;False
TKNO3;193,95;1,16;13,49;1,74;1,44;24,48;14,91;14,02;12,69;10,94;-1,18;-0,16;1,89;3,28;-3,39;4,30;12,90;10,71;8,13;0,83;0,17;0,76;15,06;35,20;19.395,00;111,44;14,38;-2,98;546.010.349,40;;;;;TKNO3;Minerais Não-Energéticos;https://s3-symbol-logo.tradingview.com/tekno-pn--big.svg;False
TKNO4;175,05;3,27;12,17;1,57;1,30;24,48;14,91;14,02;11,45;10,94;-1,18;-0,16;1,71;2,96;-3,06;4,30;12,90;10,71;8,13;0,83;0,17;0,76;15,06;35,20;123.924,44;111,44;14,38;-2,69;546.010.349,40;TKNO4;Tekno;179,00;+4,68%;TKNO4;Minerais Não-Energéticos;https://s3-symbol-logo.tradingview.com/tekno-pn--big.svg;False
TOKY3;1,01;;-1,10;459,10;68,47;46,71;-14,86;-21,31;-1,57;-1,58;-0,01;2,35;0,23;-5.368,27;-95,31;0,96;-41.826,38;-6.237,54;-11.039,24;0,15;0,97;292,70;14,79;;366.566,73;0,00;-0,92;-0,03;123.991.037,03;TOKY3;TOKY3;1,03;+0,98%;TOKY3;Serviços de Tecnologia;https://s3-symbol-logo.tradingview.com/mobly-on-nm--big.svg;False
TOTS3;45,55;1,45;31,77;5,58;3,05;69,88;17,96;15,26;26,99;26,60;-0,40;-0,08;4,85;14,95;-4,71;2,36;17,55;9,59;13,54;0,55;0,42;0,63;18,01;32,58;113.826.802,36;8,17;1,43;3,45;27.302.742.014,55;TOTS3;Totvs;45,06;+1,40%;TOTS3;Serviços de Tecnologia;https://s3-symbol-logo.tradingview.com/totvs--big.svg;False
TOYB3;2,29;;-43,94;0,03;0,00;24,06;-10,70;-10,96;-45,00;-46,99;;;4,81;0,34;0,00;;-0,07;0,00;;0,05;0,95;0,00;201,60;;;76,91;-0,05;0,47;71.890.222,22;;;;;;;;False
TOYB4;2,50;;-47,96;0,03;0,00;24,06;-10,70;-10,96;-49,12;-46,99;;;5,26;0,37;0,00;;-0,07;0,00;;0,05;0,95;0,00;201,60;;;76,91;-0,05;0,52;71.890.222,22;;;;;;;;False
TPIS3;4,01;5,75;-4,14;0,20;0,07;33,43;-3,26;-3,57;-4,54;-38,16;-33,62;1,49;0,15;-0,16;-0,07;0,15;-4,87;-1,61;-5,26;0,33;0,68;0,45;5,93;;75.802,95;19,91;-0,97;0,03;176.440.000,00;TPIS3;Triunfo;4,03;-0,49%;TPIS3;Transportes;https://s3-symbol-logo.tradingview.com/triunfo-parton-nm--big.svg;False
TRAD3;5,15;;-3,33;1,10;0,90;26,49;-180,60;-173,99;-3,20;-2,83;0,37;-0,13;5,79;2,02;-1,92;6,24;-33,16;-27,10;-31,83;0,82;0,09;0,16;54,39;;208.095,91;4,67;-1,55;0,05;206.108.247,85;TRAD3;Traders Club;5,35;-2,37%;TRAD3;Serviços de Tecnologia;https://s3-symbol-logo.tradingview.com/tc-on-nm--big.svg;False
TRIS3;7,18;4,19;6,70;0,87;0,41;30,86;16,50;15,48;6,29;8,16;1,87;0,26;1,04;0,73;-3,12;2,81;13,02;6,07;6,98;0,47;0,53;0,39;11,01;7,37;2.187.442,36;8,23;1,07;0,12;1.339.913.922,84;TRIS3;Trisul;7,46;+2,47%;TRIS3;Consumo Duráveis;https://s3-symbol-logo.tradingview.com/trisul--big.svg;False
TTEN3;13,95;1,37;7,12;1,55;0,60;17,69;7,76;6,79;6,23;8,21;1,98;0,49;0,48;2,36;-1,78;1,63;21,82;8,45;5,59;0,39;0,61;1,24;41,95;51,95;12.333.424,23;8,98;1,96;0,18;6.967.992.175,65;TTEN3;3tentos;14,58;+0,41%;TTEN3;Serviços Comerciais;https://s3-symbol-logo.tradingview.com/3tentos-on-nm--big.svg;False
TUPY3;13,63;10,21;-48,40;0,57;0,18;16,05;2,99;-0,36;5,82;14,23;8,41;0,82;0,17;0,49;-0,48;2,41;-1,18;-0,37;2,61;0,31;0,69;1,02;15,61;;8.960.814,05;23,88;-0,28;0,45;1.805.299.156,45;TUPY3;Tupy;14,81;+1,09%;TUPY3;Produtor Manufatureiro;https://s3-symbol-logo.tradingview.com/tupy--big.svg;False
TXRX3;9,98;;-0,72;-0,11;0,24;18,57;-8,81;-51,79;-4,23;-35,27;-33,28;;0,37;-0,24;-0,40;0,28;-15,80;-33,97;25,66;-2,15;3,15;0,66;2,30;;998,00;-87,84;-13,88;0,00;19.946.066,48;;;;;TXRX3;Industrias de Processamento;https://s3-symbol-logo.tradingview.com/tex-renaux-on--big.svg;False
TXRX4;1,93;;-0,14;-0,02;0,05;18,57;-8,81;-51,79;-0,82;-35,27;-33,28;;0,07;-0,05;-0,08;0,28;-15,80;-33,97;25,66;-2,15;3,15;0,66;2,30;;911,88;-87,84;-13,88;0,00;19.946.066,48;;;;;TXRX4;Industrias de Processamento;https://s3-symbol-logo.tradingview.com/tex-renaux-on--big.svg;False
UCAS3;1,35;13,45;-74,16;0,48;0,24;33,43;-3,49;-0,52;-11,11;-20,25;-9,14;0,40;0,39;4,90;-0,33;1,21;-0,65;-0,32;-5,27;0,49;0,51;0,61;8,69;;49.593,64;2,79;-0,02;0,69;89.216.591,40;UCAS3;Unicasa;1,30;+1,56%;UCAS3;Consumo Duráveis;https://s3-symbol-logo.tradingview.com/unicasa-on-nm--big.svg;False
UGPA3;21,33;3,52;8,17;1,48;0,52;7,10;3,95;2,11;4,36;7,10;2,74;0,93;0,17;3,14;-0,83;1,82;18,13;6,39;10,05;0,35;0,60;3,03;8,37;50,82;92.969.056,55;14,40;2,61;2,85;23.801.077.791,09;UGPA3;Ultrapar;20,98;+0,24%;UGPA3;Comércio de Varejo;https://s3-symbol-logo.tradingview.com/ultrapar-participacoes--big.svg;False
UNIP3;63,22;12,57;8,99;2,55;0,95;29,43;18,38;14,07;6,88;8,65;1,02;0,38;1,27;3,52;-1,60;2,96;28,31;10,55;11,18;0,37;0,62;0,75;12,24;35,60;615.350,86;24,83;7,03;0,15;7.938.192.261,04;UNIP3;Unipar;62,77;+1,80%;UNIP3;Industrias de Processamento;https://s3-symbol-logo.tradingview.com/unipar--big.svg;False
UNIP5;73,55;8,76;10,46;2,96;1,10;29,43;18,38;14,07;8,01;8,65;1,02;0,38;1,47;4,09;-1,86;2,96;28,31;10,55;11,18;0,37;0,62;0,75;12,24;35,60;14.962,15;24,83;7,03;0,17;7.938.192.261,04;UNIP5;Unipar;72,10;+3,44%;UNIP5;Industrias de Processamento;https://s3-symbol-logo.tradingview.com/unipar--big.svg;False
UNIP6;73,79;11,85;10,50;2,97;1,11;29,43;18,38;14,07;8,03;8,65;1,02;0,38;1,48;4,10;-1,87;2,96;28,31;10,55;11,18;0,37;0,62;0,75;12,24;35,60;12.006.914,82;24,83;7,03;0,17;7.938.192.261,04;UNIP6;Unipar;72,55;+2,40%;UNIP6;Industrias de Processamento;https://s3-symbol-logo.tradingview.com/unipar--big.svg;False
USIM3;4,46;;14,86;0,23;0,14;8,21;3,61;1,40;5,77;6,72;0,96;0,04;0,21;0,41;-0,25;4,16;1,55;0,93;2,18;0,60;0,33;0,66;11,59;12,02;2.602.800,14;19,37;0,30;-1,12;5.577.776.453,20;USIM3;Usiminas;4,60;+0,22%;USIM3;Minerais Não-Energéticos;https://s3-symbol-logo.tradingview.com/usiminas-pna-n1--big.svg;False
USIM5;4,44;;14,79;0,23;0,14;8,21;3,61;1,40;5,75;6,72;0,96;0,04;0,21;0,41;-0,25;4,16;1,55;0,93;2,18;0,60;0,33;0,66;11,59;12,02;45.069.260,27;19,37;0,30;-1,12;5.577.776.453,20;USIM5;Usiminas;4,63;+0,87%;USIM5;Minerais Não-Energéticos;https://s3-symbol-logo.tradingview.com/usiminas-pna-n1--big.svg;False
USIM6;8,00;;26,65;0,41;0,25;8,21;3,61;1,40;10,35;6,72;0,96;0,04;0,37;0,73;-0,44;4,16;1,55;0,93;2,18;0,60;0,33;0,66;11,59;12,02;800,00;19,37;0,30;-2,02;5.577.776.453,20;;;;;USIM6;Minerais Não-Energéticos;https://s3-symbol-logo.tradingview.com/usiminas-pna-n1--big.svg;False
VALE3;57,73;7,90;9,05;1,22;0,53;34,24;20,82;13,81;6,00;7,52;1,52;0,31;1,25;15,41;-0,66;1,22;13,52;5,87;10,13;0,43;0,55;0,42;7,33;;757.191.292,73;47,19;6,38;-0,22;262.036.907.593,40;VALE3;Vale;57,80;+0,17%;VALE3;Minerais Não-Energéticos;https://s3-symbol-logo.tradingview.com/vale--big.svg;False
VAMO3;3,78;7,10;15,86;1,57;0,18;73,73;68,79;6,72;1,55;6,26;4,71;4,77;1,07;1,57;-0,25;1,80;9,90;1,15;12,07;0,12;0,88;0,17;31,14;12,69;48.148.970,14;2,41;0,24;-0,27;4.086.302.989,86;VAMO3;Grupo Vamos;4,05;+1,00%;VAMO3;Financeiro;https://s3-symbol-logo.tradingview.com/vamos-on-nm--big.svg;False
VBBR3;24,05;4,49;4,78;1,29;0,45;4,61;4,72;3,11;3,15;5,61;2,46;1,01;0,15;2,15;-0,76;2,09;26,99;9,43;9,75;0,35;0,65;3,03;12,65;20,54;201.105.996,86;18,63;5,03;-0,51;26.911.950.000,00;VBBR3;Vibra Energia;24,29;-0,90%;VBBR3;Comércio de Varejo;https://s3-symbol-logo.tradingview.com/vibra-on-nm--big.svg;False
VITT3;5,05;6,51;11,25;1,26;0,83;32,49;10,41;8,42;9,09;10,85;1,77;0,25;0,95;2,31;-2,00;2,63;11,22;7,41;7,84;0,66;0,34;0,88;12,74;4,26;625.207,14;4,00;0,45;-0,62;759.085.790,90;VITT3;Vittia;5,19;+0,78%;VITT3;Industrias de Processamento;https://s3-symbol-logo.tradingview.com/vittia-on-ed-nm--big.svg;False
